poll_id,source,source_url,date,question_type,question_wording,topic,issue_area,support_pct,oppose_pct,net,sample_size,methodology,population,moe,tags,notes
DFP_20260504_0000,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"Most respondents disapprove of how the County Council has handled the cost of living, especially those under the age of 45 (66%) and renters (59%).",democracy,,66.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_20260504_0001,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"But despite that disapproval, only about a quarter of Democratic primary voters in Prince George’s County have written to their County Council member about local issues, while the vast majority (73%) have not.",democracy,,73.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_20260504_0002,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,Most respondents (57%) say it is more important to lower housing costs than to preserve neighborhood character.,democracy,,57.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_20260504_0003,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"Younger voters (73%) and renters (64%) are even more likely to prioritize lower housing costs, and a majority of homeowners (52%) say the same.",democracy,,73.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_20260504_0004,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"Most Democratic primary voters see the age and quality of housing in the county as either a minor (42%) or major (32%) issue, with only one-fifth saying it is not really an issue at all.",democracy,,42.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_20260504_0005,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"By a +2-point margin, these voters say they would be more likely to vote for a councilor who supports new housing in their neighborhood, while 23% say it would make no difference in their vote.",democracy,,23.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_20260504_0006,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"A plurality of younger voters (40%) and renters (41%) are more likely to vote for such a candidate, while homeowners say they are less likely to do so, by a -3-point net margin.",democracy,,40.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_20260504_0007,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"Democratic primary voters are more comfortable with new housing the farther away it’s built, with at least 3 in 5 voters somewhat or very comfortable having new housing built in their ZIP code (60%), elsewhere in the county (73%), or outside the county (69%).",democracy,,60.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_20260504_0008,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"These voters are less comfortable (a little or not comfortable at all) about new housing on their block (56%), and they are split on housing in their neighborhood or subdivision.",democracy,,56.0,,,389,online_panel,voters,,dfp;democracy,From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
YOUGOV_20260501_001,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,most_important_problem,What do you think is the most important issue facing the US today?,economy,inflation,30.0,,,1500,online_panel,adults,,economist_yougov;inflation;tracker;2026,
YOUGOV_20260501_002,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,most_important_problem,What do you think is the most important issue facing the US today?,economy,jobs_economy,14.0,,,1500,online_panel,adults,,economist_yougov;jobs;tracker;2026,
YOUGOV_20260501_003,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,right_track_wrong_track,Do you think the United States is generally headed in the right direction or off on the wrong track?,economy,direction,31.0,62.0,-31.0,1500,online_panel,adults,,economist_yougov;right_track;wrong_track;tracker;2026,
YOUGOV_20260501_004,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,approval,If the election for US Congress were held today would you vote for the Republican Party candidate or the Democratic Party candidate?,democracy,congressional_ballot,41.0,45.0,-4.0,1500,online_panel,adults,,economist_yougov;congressional_ballot;tracker;2026,
YOUGOV_20260501_005,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,approval,Do you approve or disapprove of the way Donald Trump is handling his job as president?,presidential_approval,trump_approval,40.0,58.0,-18.0,1500,online_panel,adults,,economist_yougov;trump_approval;tracker;2026,
