poll_id,source,source_url,date,question_type,question_wording,topic,issue_area,support_pct,oppose_pct,net,sample_size,methodology,population,moe,tags,notes
DFP_CLEANUP_50000,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"Younger voters (73%) and renters (64%) are even more likely to prioritize lower housing costs, and a majority of homeowners (52%) say the same.",housing,,73.0,,,389,online_panel,voters,,dfp;housing,Migrated from messages.csv during cleanup. Originally: From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_CLEANUP_50001,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"By a +2-point margin, these voters say they would be more likely to vote for a councilor who supports new housing in their neighborhood, while 23% say it would make no difference in their vote.",housing,,23.0,,,389,online_panel,voters,,dfp;housing,Migrated from messages.csv during cleanup. Originally: From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_CLEANUP_50002,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling,"A plurality of younger voters (40%) and renters (41%) are more likely to vote for such a candidate, while homeowners say they are less likely to do so, by a -3-point net margin.",housing,,40.0,,,389,online_panel,voters,,dfp;housing,Migrated from messages.csv during cleanup. Originally: From: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues
DFP_CLEANUP_50003,Data for Progress,https://www.dataforprogress.org/blog/2026/4/17/voters-believe-legal-immigration-generally-helps-the-us,2026-04-17,polling,"Democrats, meanwhile, are far more likely to cite humanitarian reasons: 53% say people are fleeing violence, compared with only 22% of Republicans.",immigration,,53.0,,,1228,online_panel,voters,,dfp;immigration,Migrated from messages.csv during cleanup. Originally: From: Voters Believe Legal Immigration Generally Helps the U.S.
DFP_CLEANUP_50004,Data for Progress,https://www.dataforprogress.org/blog/2026/3/30/new-york-voters-want-big-oil-to-pay-for-the-home-insurance-crisis,2026-03-30,polling,"When respondents first are presented with an argument in favor — that oil and gas companies have known for decades their products worsen extreme weather, and misled the public about it — support rises to 71% (+50-point net margin).",democracy,,71.0,,,648,online_panel,voters,,dfp;democracy,Migrated from messages.csv during cleanup. Originally: From: New York Voters Want Big Oil to Pay for the Home Insurance Crisis
DFP_CLEANUP_50005,Data for Progress,https://www.dataforprogress.org/blog/2026/3/30/new-york-voters-want-big-oil-to-pay-for-the-home-insurance-crisis,2026-03-30,polling,When respondents are then presented with an argument in opposition — that companies will simply pass costs through to consumers via higher energy prices — a majority of voters (58%) still support the bill.,climate,,58.0,,,648,online_panel,voters,,dfp;climate,Migrated from messages.csv during cleanup. Originally: From: New York Voters Want Big Oil to Pay for the Home Insurance Crisis
DFP_CLEANUP_50006,Data for Progress,https://www.dataforprogress.org/blog/2026/3/25/montgomery-county-democratic-primary-voters-back-housing-growth-and-walkable-communities,2026-03-25,polling,"A plurality of Democratic primary voters (33%) say they would be more likely to vote for that council member in their reelection, compared with 27% who say they would be less likely, and another 29% who say it would not affect their vote at all.",housing,,33.0,,,409,online_panel,voters,,dfp;housing,Migrated from messages.csv during cleanup. Originally: From: Montgomery County Democratic Primary Voters Back Housing Growth and Walkable Communities
DFP_CLEANUP_50007,Data for Progress,https://www.dataforprogress.org/blog/2026/3/16/voters-disapprove-of-us-strikes-in-iran-and-a-plurality-think-israel-has-too-much-influence-over-us-foreign-policy,2026-03-19,polling,"Much of this is once again driven by Democrats and Independents, the former of whom, unsurprisingly, overwhelmingly report being less likely to vote Republican (72%), alongside a narrow majority of Independents (51%).",foreign_policy,,72.0,,,1251,online_panel,voters,,dfp;foreign_policy,"Migrated from messages.csv during cleanup. Originally: From: Voters Disapprove of U.S. Strikes in Iran, and a Plurality Think Israel Has Too Much Influence Over U.S. Foreign Policy"
DFP_CLEANUP_50008,Data for Progress,https://www.dataforprogress.org/blog/2025/1/15/voters-think-trump-is-a-pro-war-president-see-venezuela-invasion-as-mostly-for-oil,2026-01-15,polling,"This includes 86% of Democrats, 61% of Independents, and 56% of persuadable voters — those who say they “normally vote about equally for both major parties.” When asked whether the U.S.",democracy,,86.0,,,1124,online_panel,voters,,dfp;democracy,"Migrated from messages.csv during cleanup. Originally: From: Voters Think Trump Is a Pro-War President, See Venezuela Invasion as Mostly for Oil"
DFP_CLEANUP_50009,Data for Progress,https://www.dataforprogress.org/blog/2025/1/15/voters-think-trump-is-a-pro-war-president-see-venezuela-invasion-as-mostly-for-oil,2026-01-15,polling,"A strong majority of voters (64%) — including 69% of persuadable voters — think the Trump administration is more focused on intervening in Venezuela, while 31% think it is more focused on lowering costs.",democracy,,64.0,,,1124,online_panel,voters,,dfp;democracy,"Migrated from messages.csv during cleanup. Originally: From: Voters Think Trump Is a Pro-War President, See Venezuela Invasion as Mostly for Oil"
