measure_id,state,year,election_date,election_type,measure_name,wording,summary,topic,subtopic,passed,support_pct,oppose_pct,threshold,margin,votes_for,votes_against,total_votes,partisan_leans,campaign_contributions,tags,source_url,notes
CA_2020_14,CA,2020,2020-11-03,general,Proposition 14,,Proposition 14,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_15,CA,2020,2020-11-03,general,Proposition 15,,Proposition 15,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_16,CA,2020,2020-11-03,general,Proposition 16,,Proposition 16,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_17,CA,2020,2020-11-03,general,Proposition 17,,Proposition 17,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_18,CA,2020,2020-11-03,general,Proposition 18,,Proposition 18,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_19,CA,2020,2020-11-03,general,Proposition 19,,Proposition 19,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_21,CA,2020,2020-11-03,general,Proposition 21,,Proposition 21,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_22,CA,2020,2020-11-03,general,Proposition 22,,Proposition 22,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_23,CA,2020,2020-11-03,general,Proposition 23,,Proposition 23,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
CA_2020_24,CA,2020,2020-11-03,general,Proposition 24,,Proposition 24,government,,,,,50.0,,,,,,,government;2020;CA;unknown,https://en.wikipedia.org/wiki/2020_United_States_ballot_measures,Outcome: unknown. No vote percentages available. No description available.
