poll_id,source,source_url,date,question_type,question_wording,topic,issue_area,support_pct,oppose_pct,net,sample_size,methodology,population,moe,tags,notes
CES_2006_affirmativeaction_scale,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,favor,Support for affirmative action programs,affirmative_action,,32.8,48.9,-16.1,36266,online_panel,US adults,,ces;2006;affirmative_action,CES variable: affirmativeaction_scale. US adults 18+.
CES_2006_approve_pres,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,approval,Approve of president's job performance,approval,presidential_approval,40.4,,,36421,online_panel,US adults,,ces;2006;approval,CES variable: pct_approve_pres. US adults 18+.
CES_2006_disapprove_pres,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,approval,Disapprove of president's job performance,approval,presidential_approval,59.6,,,36421,online_panel,US adults,,ces;2006;approval,CES variable: pct_disapprove_pres. US adults 18+.
CES_2006_somewhat_approve_pres,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,approval,Somewhat approve of president's job performance,approval,presidential_approval,22.0,,,36421,online_panel,US adults,,ces;2006;approval,CES variable: pct_somewhat_approve_pres. US adults 18+.
CES_2006_somewhat_disapprove_pres,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,approval,Somewhat disapprove of president's job performance,approval,presidential_approval,9.6,,,36421,online_panel,US adults,,ces;2006;approval,CES variable: pct_somewhat_disapprove_pres. US adults 18+.
CES_2006_strongly_approve_pres,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,approval,Strongly approve of president's job performance,approval,presidential_approval,18.4,,,36421,online_panel,US adults,,ces;2006;approval,CES variable: pct_strongly_approve_pres. US adults 18+.
CES_2006_strongly_disapprove_pres,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,approval,Strongly disapprove of president's job performance,approval,presidential_approval,50.0,,,36421,online_panel,US adults,,ces;2006;approval,CES variable: pct_strongly_disapprove_pres. US adults 18+.
CES_2006_economy_better,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,priority,Economy is better than last year,economy,economy_general,36.5,,,36421,online_panel,US adults,,ces;2006;economy,CES variable: pct_economy_better. US adults 18+.
CES_2006_economy_much_better,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,priority,Economy is much better than last year,economy,economy_general,15.8,,,36421,online_panel,US adults,,ces;2006;economy,CES variable: pct_economy_much_better. US adults 18+.
CES_2006_economy_much_worse,CES (Cooperative Election Study),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6,2006,priority,Economy is much worse than last year,economy,economy_general,13.9,,,36421,online_panel,US adults,,ces;2006;economy,CES variable: pct_economy_much_worse. US adults 18+.
