poll_id,source,source_url,date,question_type,question_wording,topic,issue_area,support_pct,oppose_pct,net,sample_size,methodology,population,moe,tags,notes
DFP_20260504_0001,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,disapproval,"Most respondents disapprove of how the County Council has handled the cost of living, especially those under the age of 45 (66%) and renters (59%).",economy,,59.0,,,389,online_panel,voters,,dfp;economy;disapproval,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260504_0002,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling_finding,"But despite that disapproval, only about a quarter of Democratic primary voters in Prince George’s County have written to their County Council member about local issues, while the vast majority (73%) have not.",housing,,73.0,,,389,online_panel,voters,,dfp;housing;polling_finding,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260504_0003,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,priority,Most respondents (57%) say it is more important to lower housing costs than to preserve neighborhood character.,economy,,57.0,,,389,online_panel,voters,,dfp;economy;priority,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260504_0004,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,likelihood,"Younger voters (73%) and renters (64%) are even more likely to prioritize lower housing costs, and a majority of homeowners (52%) say the same.",economy,,73.0,,,389,online_panel,voters,,dfp;economy;likelihood,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260504_0005,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,opinion,"Most Democratic primary voters see the age and quality of housing in the county as either a minor (42%) or major (32%) issue, with only one-fifth saying it is not really an issue at all.",housing,,42.0,,,389,online_panel,voters,,dfp;housing;opinion,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260504_0006,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,support,"By a +2-point margin, these voters say they would be more likely to vote for a councilor who supports new housing in their neighborhood, while 23% say it would make no difference in their vote.",housing,,23.0,,,389,online_panel,voters,,dfp;housing;support,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260504_0007,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,likelihood,"A plurality of younger voters (40%) and renters (41%) are more likely to vote for such a candidate, while homeowners say they are less likely to do so, by a -3-point net margin.",housing,,41.0,,,389,online_panel,voters,,dfp;housing;likelihood,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260504_0008,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling_finding,"Democratic primary voters are more comfortable with new housing the farther away it’s built, with at least 3 in 5 voters somewhat or very comfortable having new housing built in their ZIP code (60%), elsewhere in the county (73%), or outside the county (69%).",housing,,60.0,,,389,online_panel,voters,,dfp;housing;polling_finding,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260504_0009,Data for Progress,https://www.dataforprogress.org/blog/2026/5/4/prince-georges-countys-democratic-primary-voters-see-room-for-improvement-on-housing-related-issues,2026-05-04,polling_finding,"These voters are less comfortable (a little or not comfortable at all) about new housing on their block (56%), and they are split on housing in their neighborhood or subdivision.",housing,,56.0,,,389,online_panel,voters,,dfp;housing;polling_finding,Article: Prince George’s County’s Democratic Primary Voters See Room for Improvement On Housing-Related Issues. Narrative polling finding.
DFP_20260430_0010,Data for Progress,https://www.dataforprogress.org/blog/2026/4/30/voters-say-their-top-priority-in-the-iran-war-is-ending-it,2026-04-30,opinion,"In a new survey , Data for Progress finds that a majority of voters (52%) — including 60% of Independents — think the U.S.",foreign_policy,,52.0,,,1167,online_panel,voters,,dfp;foreign_policy;opinion,Article: Voters Say Their Top Priority in the Iran War Is Ending It. Narrative polling finding.
