message_id,source,source_url,date,topic,issue_area,message_type,wording,support_pct,oppose_pct,net_score,preference_effect,effect_scale,sample_size,methodology,population,moe,tags,notes
DFP_20240425_0000,Data for Progress,https://www.dataforprogress.org/blog/2024/4/24/voters-prefer-a-humane-approach-to-asylum-view-punitive-measures-as-ineffective,2024-04-25,immigration,,tested_message,"in U.S. communities, in shelters or with sponsors,",,,,,,,online_panel,voters,,dfp;immigration,"From: Voters Prefer a Humane Approach to Asylum, View Punitive Measures as Ineffective"
DFP_20240425_0001,Data for Progress,https://www.dataforprogress.org/blog/2024/4/24/voters-prefer-a-humane-approach-to-asylum-view-punitive-measures-as-ineffective,2024-04-25,immigration,,tested_message,held in prisons or detention centers.,,,,,,,online_panel,voters,,dfp;immigration,"From: Voters Prefer a Humane Approach to Asylum, View Punitive Measures as Ineffective"
DFP_20240312_0002,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,immigration,,tested_message,""" for high grocery prices, corporate price gouging rises to the top, whether “corporate food manufacturers”",,,,,,,online_panel,voters,,dfp;immigration,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_20240312_0003,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,immigration,,tested_message,should do more to take on corporations that unfairly and illegally raise prices on consumers.,,,,,,,online_panel,voters,,dfp;immigration,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_20240312_0004,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,immigration,,tested_message,because the government should not interfere in the private sector.,,,,,,,online_panel,voters,,dfp;immigration,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_20240306_0005,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"Of the choices listed below, which do you think are the top three most important issues for Congress to focus on?",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0006,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"jobs and the economy,",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0007,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,jobs and the economy,,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0008,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"In the voting booth, which of the following issues do you consider most when deciding which candidate to vote for?",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0009,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"protecting abortion rights,",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240227_0010,Data for Progress,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,2024-02-27,foreign_policy,,tested_message,the release of Israeli hostages from Gaza.,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Voters Support the U.S. Calling for Permanent Ceasefire in Gaza and Conditioning Military Aid to Isr...
DFP_20240227_0011,Data for Progress,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,2024-02-27,foreign_policy,,tested_message,the U.S. should call for a permanent ceasefire and de-escalation of violence in Gaza right now.,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Voters Support the U.S. Calling for Permanent Ceasefire in Gaza and Conditioning Military Aid to Isr...
