poll_id,source,source_url,date,question_type,question_wording,topic,issue_area,support_pct,oppose_pct,net,sample_size,methodology,population,moe,tags,data_quality,notes
YOUGOV_20260501_001,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,most_important_problem,What do you think is the most important issue facing the US today?,economy,inflation,30.0,,,1500,online_panel,adults,,economist_yougov;inflation;tracker;2026,structured_poll,
YOUGOV_20260501_002,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,most_important_problem,What do you think is the most important issue facing the US today?,economy,jobs_economy,14.0,,,1500,online_panel,adults,,economist_yougov;jobs;tracker;2026,structured_poll,
YOUGOV_20260501_003,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,right_track_wrong_track,Do you think the United States is generally headed in the right direction or off on the wrong track?,economy,direction,31.0,62.0,-31.0,1500,online_panel,adults,,economist_yougov;right_track;wrong_track;tracker;2026,structured_poll,
YOUGOV_20260501_004,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,approval,If the election for US Congress were held today would you vote for the Republican Party candidate or the Democratic Party candidate?,democracy,congressional_ballot,41.0,45.0,-4.0,1500,online_panel,adults,,economist_yougov;congressional_ballot;tracker;2026,structured_poll,
YOUGOV_20260501_005,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,approval,Do you approve or disapprove of the way Donald Trump is handling his job as president?,presidential_approval,trump_approval,40.0,58.0,-18.0,1500,online_panel,adults,,economist_yougov;trump_approval;tracker;2026,structured_poll,
YOUGOV_20260501_006,YouGov,https://today.yougov.com/topics/politics/,2026-05-01,priority,Who do you trust more to handle the economy?,economy,trust,35.0,40.0,-5.0,1500,online_panel,adults,,economist_yougov;economy;trust;2026,structured_poll,
GALLUP_20260302_1830,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-03-02,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,32.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
IPS_20260320_001,Ipsos/Reuters,https://www.ipsos.com/,2026-03,most_important_problem,Most important problem facing the US? (open-ended),economy,economy_general,16,,,1272,online_panel,adults,2.8,most_important_problem;economy,structured_poll,Top mention. War cited by 14% (up from 1% in Feb).
IPS_20260320_002,Ipsos/Reuters,https://www.ipsos.com/,2026-03,approval,Trump overall job approval,politics,presidential_approval,36,64,-28,1272,online_panel,adults,2.8,trump;approval;second_term_low,structured_poll,
IPS_20260320_003,Ipsos/Reuters,https://www.ipsos.com/,2026-03,approval,Trump approval on cost of living,economy,cost_of_living,25,66,-41,1272,online_panel,adults,2.8,trump;cost_of_living;approval,structured_poll,
