message_id,source,source_url,date,topic,issue_area,message_type,wording,support_pct,oppose_pct,net_score,preference_effect,effect_scale,sample_size,methodology,population,moe,tags,notes
BLP_20251205_001,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,democracy,vision,vision,Fights—really fights—for all of us,,,,14,maxdiff,2572,online_panel,likely_voters,2.2,maxdiff;vision;fight;all_of_us,MaxDiff of 10 Democratic vision statements. #1 overall.
BLP_20251205_002,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,democracy,vision,vision,Make the fight to restore the American Dream the heart of our party,,,,12,maxdiff,2572,online_panel,likely_voters,2.2,maxdiff;vision;american_dream,MaxDiff of 10.
BLP_20251205_003,Blueprint Research,https://blueprint-research.com/polling/dem-message-test-2-5/,2025-12-05,culture_war,anti_woke,vision,Anti-performative woke politics,,,,-11,maxdiff,2572,online_panel,likely_voters,2.2,maxdiff;anti_woke;worst,Worst performing message. -33 among Democrats.
BLP_20240216_001,Blueprint Research,https://blueprint-research.com/polling/back-to-basics-3-6/,2024-02-16,social_security,ssn_medicare,contrast,Trump and Republicans are cutting Social Security and Medicare to pay for billionaire tax cuts,56,,,,,1383,online_panel,registered_voters,3.51,ss_medicare;tax_cuts;billionaires;most_selected,56% selected as most effective anti-Trump message.
BLP_20250924_001,Blueprint Research,https://blueprint-research.com/polling/build-a-dem-workshop/,2025-09-24,social_security,ssn_medicare,policy_proposal,Protecting Social Security and Medicare,,,,21,maxdiff,3028,online_panel,voters,2.1,maxdiff;ss_medicare;top_issue,Highest preference effect across ALL tested issues.
BLP_20250924_002,Blueprint Research,https://blueprint-research.com/polling/build-a-dem-workshop/,2025-09-24,economy,cost_of_living,policy_proposal,Bringing down prices of food and goods,,,,20,maxdiff,3028,online_panel,voters,2.1,maxdiff;cost_of_living;food_prices,Second highest preference effect.
BLP_20241108_001,Blueprint Research,https://blueprint-research.com/polling/why-trump-reasons-11-8/,2024-11-08,economy,inflation,negative,Inflation too high under Biden-Harris,,,,24,relative_importance,3262,online_panel,voters,,relative_importance;inflation;top_reason,Highest relative importance for voting against Harris.
BLP_20241108_002,Blueprint Research,https://blueprint-research.com/polling/why-trump-reasons-11-8/,2024-11-08,immigration,border_security,negative,Too many immigrants crossed the border under Biden-Harris,,,,23,relative_importance,3262,online_panel,voters,,relative_importance;immigration;border,Second highest.
BLP_20250924_004,Blueprint Research,https://blueprint-research.com/polling/authoritarian-test/,2025-09-24,democracy,authoritarianism,negative,Using executive orders to target political enemies,54,60,-6,,,3028,online_panel,voters,2.1,authoritarian;executive_orders;political_enemies,54% view as authoritarian. 60% oppose.
NAV_20260216_001,Navigator Research,https://navigatorresearch.org/special-battleground-report-on-food-and-health-part-ii-messages/,2026-02-16,healthcare,food_safety,negative,Trump and Republicans are hurting American children...,64,,,,,1500,online_panel,likely_voters,2.5,food_safety;children;snap,64% concerned.
NAV_20260216_002,Navigator Research,https://navigatorresearch.org/special-battleground-report-on-food-and-health-part-ii-messages/,2026-02-16,economy,food_prices,negative,Trump and Republicans allowed food companies to take advantage of inflation to raise prices.,68,,,,,1500,online_panel,likely_voters,2.5,price_gouging;food_prices,68% concerned.
NAV_20260319_001,Navigator Research,https://navigatorresearch.org/the-more-americans-learn-about-the-save-act-the-less-they-like-it/,2026-03-19,voting_rights,voter_id,rebuttal,The SAVE Act would require a passport or birth certificate to register to vote...,52,,,,,1500,online_panel,likely_voters,2.5,save_act;voter_suppression,52% convincing. Flipped support from +11 to -2 net.
NAV_202603_003,Navigator Research,https://navigatorresearch.org/perceptions-and-concerns-about-trumps-war-against-iran/,2026-03-18,foreign_policy,,tested_message,"]As 85% already believe the cost of gas is rising, Americans continue to want Trump and Congress to prioritize inflation and the cost of living (58%), but believe Trump and Republicans in Congress ar",85,,,,,,online_panel,likely_voters,,navigator;foreign_policy,From: Perceptions And Concerns About Trump’s War Against Iran
NAV_202602_002,Navigator Research,https://navigatorresearch.org/all-eyes-are-on-ice/,2026-02-05,immigration,,tested_message,]Two-thirds (66%) of Americans support a balanced approach on immigration that focuses on fixing a broken system rather than a system focused on strict enforcement and mass deportations (25% support),66,,,,,,online_panel,likely_voters,,navigator;immigration,From: All eyes are on ICE
NAV_202503_001,Navigator Research,https://navigatorresearch.org/navigators-guide-to-talking-about-government-cuts/,2025-03-14,general,,tested_message,"as a negative. Spending is always ON SOMETHING, and you're better off talking about that specific thing.",,,,,,,online_panel,likely_voters,,navigator;general,From: Navigator&#8217;s Guide to Talking about Government Cuts
DFP_1000,Data for Progress,https://www.dataforprogress.org/blog/2024/4/24/voters-prefer-a-humane-approach-to-asylum-view-punitive-measures-as-ineffective,2024-04-25,democracy,,tested_message,"in U.S. communities, in shelters or with sponsors,",,,,,,,online_panel,voters,,dfp;democracy,"From: Voters Prefer a Humane Approach to Asylum, View Punitive Measures as Ineffective"
DFP_1001,Data for Progress,https://www.dataforprogress.org/blog/2024/4/24/voters-prefer-a-humane-approach-to-asylum-view-punitive-measures-as-ineffective,2024-04-25,democracy,,tested_message,held in prisons or detention centers.,,,,,,,online_panel,voters,,dfp;democracy,"From: Voters Prefer a Humane Approach to Asylum, View Punitive Measures as Ineffective"
DFP_1002,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,economy,,tested_message,"for high grocery prices, corporate price gouging rises to the top, whether “corporate food manufacturers",,,,,,,online_panel,voters,,dfp;economy,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_1003,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,economy,,tested_message,should do more to take on corporations that unfairly and illegally raise prices on consumers.,,,,,,,online_panel,voters,,dfp;economy,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_1004,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,economy,,tested_message,because the government should not interfere in the private sector.,,,,,,,online_panel,voters,,dfp;economy,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_1005,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"Of the choices listed below, which do you think are the top three most important issues for Congress to focus on?",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_1006,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"jobs and the economy,",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
