measure_id,state,year,election_date,election_type,measure_name,wording,summary,topic,subtopic,passed,support_pct,oppose_pct,threshold,margin,votes_for,votes_against,total_votes,partisan_leans,campaign_contributions,tags,source_url,notes
AL_2024_Amendment1,AL,2024,2024-03-05,general,Amendment 1,Exempts local laws or local constitutional amendments from the budget isolation resolution process.,Exempts local laws or local constitutional amendments from the budget isolation resolution process.,government,,FALSE,48.69,51.31,50.0,-1.31,341515,359850,,,,government;2024;AL;failed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
AK_2024_Measure1,AK,2024,2024-11-05,general,Measure 1,Increases the minimum wage to $15/hr (currently $11.73/hr) by July 2027; provides 40–56 hours of paid sick leave a year depending on employer size; protects employees from being required to attend meetings on political and religious matters.,Increases the minimum wage to $15/hr (currently $11.73/hr) by July 2027; provides 40–56 hours of paid sick leave a year depending on employer size; protects employees from being required to attend meetings on political and religious matters.,minimum_wage,,TRUE,57.98,42.02,50.0,7.98,183744,133162,,,,minimum_wage;2024;AK;passed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
AZ_2024_Proposition1,AZ,2024,2024-11-05,general,Proposition 133,"Require partisan primary elections for partisan offices and prohibit primary elections where all candidates, regardless of political party affiliation, run in the same primary election, such as top-two, top-four, and top-five primaries &#91; 1 &#93;","Require partisan primary elections for partisan offices and prohibit primary elections where all candidates, regardless of political party affiliation, run in the same primary election, such as top-two, top-four, and top-five primaries &#91; 1 &#93;",voting_rights,,FALSE,42.18,57.82,50.0,-7.82,1286640,1763711,,,,voting_rights;2024;AZ;failed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
AR_2024_Issue1,AR,2024,2024-08-06,general,Issue 1,Allow proceeds from the state lottery to fund scholarships and grants for vocational-technical schools and technical institutes. &#91; 15 &#93;,Allow proceeds from the state lottery to fund scholarships and grants for vocational-technical schools and technical institutes. &#91; 15 &#93;,education,,TRUE,89.19,10.41,50.0,39.19,1029102,119527,,,,education;2024;AR;passed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
CA_2024_Proposition1,CA,2024,2024-03-05,general,Proposition 1,Reforms the Mental Health Services Act and issues $6.38 billion in bonds for homeless individuals and veterans.,Reforms the Mental Health Services Act and issues $6.38 billion in bonds for homeless individuals and veterans.,taxes,,TRUE,50.18,49.82,50.0,0.18,3636678,3610436,,,,taxes;2024;CA;passed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
CO_2024_Amendment79,CO,2024,2024-11-05,general,Amendment 79,Enshrines abortion in the Colorado Constitution and allows the use of public funds for abortion healthcare &#91; 28 &#93;,Enshrines abortion in the Colorado Constitution and allows the use of public funds for abortion healthcare &#91; 28 &#93;,abortion,,TRUE,61.97,38.03,50.0,11.97,1921593,1179261,,,,abortion;2024;CO;passed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
CT_2024_ConnecticutN,CT,2024,2024-11-05,general,Connecticut No-Excuse Absentee Voting Amendment,"Authorize the Connecticut State Legislature to provide by law for no-excuse absentee voting , thereby allowing any voter to request a mail-in ballot . &#91; 42 &#93;","Authorize the Connecticut State Legislature to provide by law for no-excuse absentee voting , thereby allowing any voter to request a mail-in ballot . &#91; 42 &#93;",voting_rights,,TRUE,57.99,42.01,50.0,7.99,843153,610694,,,,voting_rights;2024;CT;passed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
FL_2024_Amendment1,FL,2024,2024-11-05,general,Amendment 1,Make school board elections partisan beginning in the November 2026 general election and for primary elections nominating party candidates for the 2026 election. &#91; 43 &#93;,Make school board elections partisan beginning in the November 2026 general election and for primary elections nominating party candidates for the 2026 election. &#91; 43 &#93;,voting_rights,,FALSE,54.90,45.10,50.0,4.90,5492993,4512372,,,,voting_rights;2024;FL;failed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
GA_2024_Amendment1,GA,2024,2024-11-05,general,Amendment 1,"Provide for a local option homestead property tax exemption and allowing a county, municipality, or school system to opt out of the exemption. &#91; 49 &#93;","Provide for a local option homestead property tax exemption and allowing a county, municipality, or school system to opt out of the exemption. &#91; 49 &#93;",taxes,,TRUE,62.92,37.08,50.0,12.92,3094322,1823529,,,,taxes;2024;GA;passed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
HI_2024_Amendment1,HI,2024,2024-11-05,general,Amendment 1,Repeal Amendment 2 and the Legislature's ability reserve marriage to opposite-sex couples. &#91; 52 &#93;,Repeal Amendment 2 and the Legislature's ability reserve marriage to opposite-sex couples. &#91; 52 &#93;,civil_rights,,TRUE,55.94,44.06,50.0,5.94,268038,211142,,,,civil_rights;2024;HI;passed,https://en.wikipedia.org/wiki/2024_United_States_ballot_measures,
