X.1,% Mentioning
Jan 1 2001,22
Mar 5 2001,29
Apr 6 2001,33
May 10 2001,31
Jun 11 2001,26
Jul 19 2001,31
Aug 16 2001,34
Sep 7 2001,39
Oct 11 2001,20
Nov 8 2001,24
Dec 6 2001,30
Jan 7 2002,33
Feb 4 2002,40
Mar 4 2002,29
Apr 8 2002,30
May 6 2002,25
Jun 3 2002,24
Jul 9 2002,35
Jul 26 2002,40
Aug 5 2002,36
Sep 5 2002,35
Oct 14 2002,37
Nov 11 2002,37
Dec 5 2002,38
Jan 13 2003,41
Feb 3 2003,46
Mar 3 2003,38
Apr 7 2003,48
May 5 2003,52
Jun 12 2003,47
Jul 7 2003,44
Aug 4 2003,48
Sep 8 2003,45
Oct 6 2003,46
Nov 3 2003,37
Dec 11 2003,32
Jan 12 2004,37
Feb 9 2004,46
Mar 8 2004,47
Apr 5 2004,43
May 2 2004,42
Jun 3 2004,41
Jul 8 2004,33
Aug 9 2004,41
Sep 13 2004,37
Oct 11 2004,40
Nov 7 2004,38
Dec 5 2004,29
Jan 3 2005,31
Feb 7 2005,29
Mar 7 2005,28
Apr 4 2005,34
May 2 2005,33
Jun 6 2005,30
Jul 7 2005,27
Aug 8 2005,32
Sep 12 2005,32
Oct 13 2005,36
Nov 7 2005,28
Dec 5 2005,26
Jan 9 2006,29
Feb 6 2006,29
Mar 13 2006,31
Apr 10 2006,32
May 8 2006,40
Jun 1 2006,31
Jul 6 2006,27
Aug 7 2006,35
Sep 7 2006,26
Oct 9 2006,19
Nov 9 2006,24
Dec 11 2006,16
Jan 15 2007,17
Feb 1 2007,22
Mar 11 2007,20
Apr 2 2007,23
May 10 2007,23
Jun 11 2007,24
Jul 12 2007,16
Aug 13 2007,24
Sep 14 2007,25
Oct 4 2007,22
Nov 11 2007,31
Dec 6 2007,31
Jan 4 2008,38
Feb 11 2008,49
Mar 6 2008,55
Apr 6 2008,61
May 8 2008,61
Jun 9 2008,65
Jul 10 2008,61
Aug 7 2008,59
Sep 8 2008,60
Oct 3 2008,69
Nov 13 2008,77
Dec 4 2008,77
Jan 9 2009,79
Feb 9 2009,86
Mar 5 2009,80
Apr 6 2009,76
May 7 2009,69
Jun 14 2009,65
Jul 10 2009,69
Aug 6 2009,60
Aug 31 2009,57
Oct 1 2009,51
Nov 5 2009,58
Dec 11 2009,55
Jan 8 2010,57
Feb 1 2010,72
Mar 4 2010,66
Apr 8 2010,63
May 3 2010,59
Jun 11 2010,57
Jul 8 2010,64
Aug 5 2010,65
Sep 13 2010,69
Oct 7 2010,69
Nov 4 2010,69
Dec 10 2010,66
Jan 7 2011,68
Feb 2 2011,70
Mar 3 2011,72
Apr 7 2011,66
May 5 2011,74
Jun 9 2011,72
Jul 7 2011,74
Aug 11 2011,76
Sep 8 2011,76
Oct 6 2011,73
Nov 3 2011,76
Dec 15 2011,64
Jan 5 2012,66
Feb 2 2012,71
Mar 8 2012,70
Apr 9 2012,72
May 3 2012,66
Jun 7 2012,68
Jul 9 2012,65
Aug 1 2012,65
Sep 6 2012,72
Oct 15 2012,72
Nov 15 2012,64
Dec 14 2012,59
Jan 7 2013,63
Feb 7 2013,60
Mar 7 2013,57
Apr 4 2013,56
May 2 2013,52
Jun 1 2013,53
Jul 10 2013,52
Aug 7 2013,53
Sep 5 2013,48
Oct 3 2013,47
Nov 7 2013,46
Dec 5 2013,47
Jan 5 2014,50
Feb 6 2014,53
Mar 6 2014,51
Apr 3 2014,47
May 8 2014,50
Jun 5 2014,44
Jul 7 2014,41
Aug 7 2014,38
Sep 4 2014,41
Oct 12 2014,38
Nov 6 2014,41
Dec 8 2014,31
Jan 5 2015,34
Feb 8 2015,38
Mar 5 2015,33
Apr 9 2015,34
May 6 2015,33
Jun 2 2015,33
Jul 8 2015,32
Aug 5 2015,37
Sep 9 2015,35
Oct 7 2015,33
Nov 4 2015,39
Dec 2 2015,21
Jan 6 2016,27
Feb 3 2016,39
Mar 2 2016,39
Apr 6 2016,40
May 4 2016,38
Jun 1 2016,38
Jul 13 2016,27
Aug 3 2016,35
Sep 7 2016,33
Oct 5 2016,31
Nov 9 2016,31
Dec 7 2016,29
Jan 4 2017,30
Feb 1 2017,20
Mar 1 2017,26
Apr 5 2017,24
May 3 2017,21
Jun 7 2017,19
Jul 5 2017,21
Aug 2 2017,20
Sep 6 2017,17
Oct 5 2017,17
Nov 2 2017,15
Dec 4 2017,17
Jan 2 2018,20
Feb 1 2018,20
Mar 1 2018,14
Apr 2 2018,20
May 1 2018,20
Jun 1 2018,15
Jul 1 2018,14
Aug 1 2018,17
Sep 4 2018,12
Oct 1 2018,13
Nov 1 2018,13
Dec 2 2018,14
Jan 2 2019,14
Feb 1 2019,12
Mar 1 2019,15
Apr 1 2019,13
May 1 2019,14
Jun 1 2019,13
Jul 1 2019,14
Aug 1 2019,11
Sep 3 2019,15
Oct 1 2019,11
Nov 1 2019,13
Dec 2 2019,11
Jan 2 2020,10
Feb 3 2020,11
Mar 2 2020,13
Apr 1 2020,13
May 1 2020,16
May 28 2020,19
Jul 1 2020,9
Aug 1 2020,12
Sep 1 2020,9
Oct 1 2020,14
Nov 5 2020,10
Dec 1 2020,10
Jan 4 2021,9
Feb 3 2021,16
Mar 1 2021,19
Apr 1 2021,14
May 3 2021,21
Jun 1 2021,23
Jul 6 2021,20
Aug 2 2021,18
Sep 1 2021,16
Oct 1 2021,24
Nov 1 2021,26
Dec 1 2021,29
Jan 3 2022,22
Feb 1 2022,30
Mar 1 2022,35
Apr 1 2022,39
May 2 2022,37
Jun 1 2022,40
Jul 1 2022,35
Aug 1 2022,37
Sep 1 2022,38
Oct 1 2022,46
Nov 9 2022,40
Jan 2 2023      ,34
Feb 1 2023,35
Mar 1 2023      ,33
Apr 1 2023,29
May 1 2023,32
Jun 1 2023,32
Jul 3 2023,29
Aug 1 2023,31
Sep 1 2023,34
Oct 2 2023,38
Nov 1 2023,33
Dec 1 2023,32
Jan 1 2024,34
Feb 1 2024,30
Mar 1 2024,30
Apr 1 2024,36
May 1 2024,36
Jun 3 2024,36
Jul 1 2024,33
Aug 1 2024,41
Sep 3 2024,44
Oct 1 2024,43
Nov 6 2024,33
Dec 2 2024,34
Jan 2 2025,33
Feb 3 2025,34
Mar 3 2025,38
Apr 1 2025,39
May 1 2025,35
Jun 2 2025,33
Jul 7 2025,27
Aug 1 2025,34
Sep 1 2025,24
Oct 1 2025,24
Nov 3 2025,30
Dec 1 2025,35
Jan 2 2026,28
Feb 2 2026,25
Mar 2 2026,32
