What do you think is the most important problem facing this country today? <b><br>% Mentioning immigration</b>,Republicans,Independents,Democrats
Jan-16,19%,17%,11%
Feb-16,17%,13%,10%
Mar-16,12%,15%,17%
Apr-16,11%,13%,13%
May-16,14%,15%,9%
Jun-16,14%,15%,12%
Jul-16,18%,18%,13%
Aug-16,19%,11%,12%
Sep-16,9%,15%,8%
Oct-16,12%,9%,15%
Nov-16,5%,10%,8%
Dec-16,9%,10%,9%
Jan-17,12%,12%,10%
Feb-17,11%,18%,29%
Mar-17,10%,21%,20%
Apr-17,16%,20%,30%
May-17,13%,20%,24%
Jun-17,24%,20%,31%
Jul-17,17%,18%,21%
Aug-17,15%,18%,27%
Sep-17,15%,19%,22%
Oct-17,13%,21%,23%
Nov-17,18%,21%,31%
Dec-17,17%,17%,32%
Jan-18,16%,27%,28%
Feb-18,13%,23%,28%
Mar-18,17%,20%,28%
Apr-18,16%,21%,31%
May-18,14%,20%,27%
Jun-18,13%,17%,28%
Jul-18,15%,17%,27%
Aug-18,12%,19%,32%
Sep-18,28%,25%,38%
Oct-18,29%,22%,31%
Nov-18,14%,16%,23%
Dec-18,15%,17%,27%
Jan-19,22%,28%,34%
Feb-19,36%,30%,37%
Mar-19,28%,26%,34%
Apr-19,19%,21%,32%
May-19,23%,21%,28%
Jun-19,23%,23%,32%
Jul-19,24%,21%,26%
Aug-19,23%,19%,24%
Sep-19,23%,19%,28%
Oct-19,36%,28%,41%
Nov-19,39%,25%,37%
Dec-19,31%,19%,30%
Jan-20,28%,28%,31%
Feb-20,36%,25%,39%
Mar-20,34%,23%,26%
Apr-20,21%,18%,24%
May-20,24%,17%,31%
Jun-20,18%,20%,25%
Jul-20,25%,18%,27%
Aug-20,26%,19%,22%
Sep-20,30%,21%,29%
Oct-20,28%,20%,22%
Nov-20,28%,21%,18%
Dec-20,29%,17%,17%
Jan-21,35%,23%,27%
Feb-21,30%,17%,13%
Mar-21,28%,19%,11%
Apr-21,20%,12%,8%
May-21,13%,15%,15%
Jun-21,29%,16%,22%
Jul-21,25%,13%,13%
Aug-21,23%,13%,10%
Sep-21,25%,15%,9%
Oct-21,26%,18%,17%
Nov-21,24%,21%,17%
Dec-21,27%,16%,20%
Jan-22,27%,17%,22%
Feb-22,26%,15%,18%
Mar-22,25%,16%,19%
Apr-22,22%,16%,17%
May-22,22%,14%,19%
Jun-22,18%,15%,15%
Jul-22,20%,13%,16%
Aug-22,20%,16%,23%
Sep-22,26%,14%,22%
Oct-22,15%,11%,14%
Nov-22,18%,12%,11%
Dec-22,,,
Jan-23,28%,15%,19%
Feb-23,16%,9%,13%
Mar-23,19%,19%,18%
Apr-23,23%,15%,12%
May-23,20%,16%,18%
Jun-23,19%,15%,17%
Jul-23,26%,16%,19%
Aug-23,22%,17%,22%
Sep-23,16%,16%,19%
Oct-23,19%,15%,20%
Nov-23,17%,14%,22%
Dec-23,12%,13%,20%
Jan-24,19%,18%,28%
Feb-24,17%,18%,25%
Mar-24,12%,19%,28%
Apr-24,19%,11%,28%
May-24,15%,20%,27%
Jun-24,23%,16%,26%
Jul-24,25%,18%,27%
Aug-24,13%,14%,22%
Sep-24,17%,15%,21%
Oct-24,15%,17%,22%
Nov-24,12%,18%,36%
Dec-24,15%,16%,31%
Jan-25,21%,17%,35%
Feb-25,12%,25%,45%
Mar-25,19%,22%,41%
Apr-25,22%,23%,38%
May-25,16%,22%,43%
Jun-25,9%,26%,36%
Jul-25,19%,21%,38%
Aug-25,16%,19%,40%
Sep-25,22%,27%,36%
Oct-25,18%,28%,40%
Nov-25,26%,23%,35%
Dec-25,11%,26%,40%
Jan-26,29%,28%,42%
Feb-26,19%,24%,44%
