poll_id,source,source_url,date,question_type,question_wording,topic,issue_area,support_pct,oppose_pct,net,sample_size,methodology,population,moe,tags
GALLUP_20010101_001,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-01-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,22.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20010305_002,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-03-05,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,29.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20010406_003,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-04-06,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,33.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20010510_004,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-05-10,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,31.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20010611_005,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-06-11,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,26.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20010719_006,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-07-19,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,31.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20010816_007,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-08-16,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,34.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20010907_008,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-09-07,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,39.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20011011_009,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-10-11,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,20.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20011108_010,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-11-08,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,24.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20011206_011,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2001-12-06,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,30.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20020107_012,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2002-01-07,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,33.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20020204_013,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2002-02-04,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,40.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
GALLUP_20020304_014,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2002-03-04,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,29.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general
