What do you think is the most important problem facing this country today?  [OPEN-ENDED],% Government/Congress/Politicians,% Immigration/Immigration policy<br>,% Economy in general,High cost of living/Inflation
Feb-24,19,28,12,10
Mar-24,19,27,13,11
Apr-24,17,26,16,13
May-24,21,18,17,12
Jun-24,19,21,15,13
Jul-24,22,18,13,13
Aug-24,16,19,17,14
Sep-24,17,21,23,15
Oct-24,17,21,21,14
Nov-24,21,20,17,11
Dec-24,20,17,15,11
Jan-25,23,13,14,12
Feb-25,27,18,16,8
Mar-25,26,14,18,9
Apr-25,27,11,17,11
May-25,26,12,15,8
Jun-25,24,19,13,8
Jul-25,25,15,12,7
Aug-25,24,14,12,9
Sep-25,28,14,10,6
Oct-25,28,16,10,8
Nov-25,27,13,12,9
Dec-25,26,19,17,11
Jan-26,32,10,9,11
Feb-26,29,20,11,8
