What do you think is the most important problem facing this country today?  [OPEN-ENDED],% Government/Congress/Politicians
Mar-00,11
Jun-00,9
Oct-00,8
Jan-01,9
Mar-01,5
Apr-01,7
May-01,5
Jun-01,6
Jul-01,6
Aug-01,5
Sep-01,6
Oct-01,1
Nov-01,3
Dec-01,4
Jan-02,4
Feb-02,3
Mar-02,4
Apr-02,2
May-02,5
Jun-02,6
Jul-02,7
Aug-02,7
Sep-02,7
Oct-02,4
Nov-02,4
Dec-02,6
Jan-03,5
Feb-03,2
Mar-03,5
Apr-03,4
May-03,7
Jun-03,4
Jul-03,7
Aug-03,7
Sep-03,7
Oct-03,6
Nov-03,7
Dec-03,8
Jan-04,7
Feb-04,8
Mar-04,6
Apr-04,7
May-04,5
Jun-04,5
Jul-04,8
Aug-04,6
Sep-04,6
Oct-04,4
Nov-04,4
Dec-04,6
Jan-05,7
Feb-05,7
Mar-05,6
Apr-05,5
May-05,5
Jun-05,8
Jul-05,6
Aug-05,7
Sep-05,9
Oct-05,9
Nov-05,9
Dec-05,12
Jan-06,9
Feb-06,10
Mar-06,8
Apr-06,8
May-06,9
Jun-06,8
Jul-06,9
Aug-06,9
Sep-06,9
Oct-06,11
Nov-06,9
Dec-06,9
Jan-07,7
Feb-07,7
Mar-07,8
Apr-07,9
May-07,7
Jun-07,9
Jul-07,8
Aug-07,9
Sep-07,10
Oct-07,8
Nov-07,11
Dec-07,8
Jan-08,8
Feb-08,6
Mar-08,5
Apr-08,6
May-08,5
Jun-08,6
Jul-08,9
Aug-08,9
Sep-08,9
Oct-08,9
Nov-08,6
Dec-08,9
Jan-09,5
Feb-09,6
Mar-09,6
Apr-09,5
May-09,8
Jun-09,6
Jul-09,8
Aug-09,7
Sep-09,10
Oct-09,11
Nov-09,8
Dec-09,9
Jan-10,11
Feb-10,10
Mar-10,10
Apr-10,14
May-10,12
Jun-10,14
Jul-10,11
Aug-10,12
Sep-10,11
Oct-10,11
Nov-10,14
Dec-10,13
Jan-11,11
Feb-11,12
Mar-11,11
Apr-11,13
May-11,8
Jun-11,8
Jul-11,9
Aug-11,14
Sep-11,14
Oct-11,13
Nov-11,13
Dec-11,16
Jan-12,15
Feb-12,16
Mar-12,13
Apr-12,12
May-12,14
Jun-12,12
Jul-12,13
Aug-12,15
Sep-12,12
Oct-12,9
Nov-12,15
Dec-12,14
Jan-13,18
Feb-13,16
Mar-13,20
Apr-13,16
May-13,15
Jun-13,17
Jul-13,16
Aug-13,17
Sep-13,16
Oct-13,33
Nov-13,26
Dec-13,21
Jan-14,21
Feb-14,18
Mar-14,18
Apr-14,20
May-14,19
Jun-14,19
Jul-14,16
Aug-14,18
Sep-14,18
Oct-14,16
Nov-14,19
Dec-14,15
Jan-15,17
Feb-15,17
Mar-15,18
Apr-15,19
May-15,14
Jun-15,14
Jul-15,13
Aug-15,13
Sep-15,17
Oct-15,16
Nov-15,15
Dec-15,13
Jan-16,16
Feb-16,13
Mar-16,15
Apr-16,13
May-16,13
Jun-16,13
Jul-16,16
Aug-16,13
Sep-16,11
Oct-16,12
Nov-16,8
Dec-16,9
Jan-17,11
Feb-17,19
Mar-17,18
Apr-17,21
May-17,18
Jun-17,25
Jul-17,19
Aug-17,20
Sep-17,18
Oct-17,20
Nov-17,23
Dec-17,22
Jan-18,25
Feb-18,22
Mar-18,22
Apr-18,23
May-18,20
Jun-18,19
Jul-18,19
Aug-18,21
Sep-18,29
Oct-18,27
Nov-18,18
Dec-18,19
Jan-19,29
Feb-19,35
Mar-19,29
Apr-19,23
May-19,23
Jun-19,26
Jul-19,23
Aug-19,22
Sep-19,23
Oct-19,34
Nov-19,33
Dec-19,25
Jan-20,28
Feb-20,32
Mar-20,27
Apr-20,20
May-20,24
Jun-20,21
Jul-20,23
Aug-20,22
Sep-20,25
Oct-20,23
Nov-20,22
Dec-20,20
Jan-21,29
Feb-21,19
Mar-21,25
Apr-21,14
May-21,16
Jun-21,22
Jul-21,17
Aug-21,16
Sep-21,19
Oct-21,21
Nov-21,21
Dec-21,21
Jan-22,23
Feb-22,20
Mar-22,22
Apr-22,20
May-22,19
Jun-22,18
Jul-22,17
Aug-22,20
Sep-22,22
Oct-22,14
Nov-22,15
Jan-23,21
Feb-23,14
Mar-23,20
Apr-23,18
May-23,19
Jun-23,18
Jul-23,20
Aug-23,22
Sep-23,18
Oct-23,19
Nov-23,19
Dec-23,16
Jan-24,21
Feb-24,19
Mar-24,19
Apr-24,17
May-24,21
Jun-24,19
Jul-24,22
Aug-24,16
Sep-24,17
Oct-24,17
Nov-24,21
Dec-24,20
Jan-25,23
Feb-25,27
Mar-25,26
Apr-25,27
May-25,26
Jun-25,24
Jul-25,25
Aug-25,24
Sep-25,28
Oct-25,28
Nov-25,27
Dec-25,26
Jan-26,32
Feb-26,29
