X.1,Republican Party,Democratic Party,No difference/Other/<br>No opinion (vol.)
,%,%,%
2025 Sep 2-16,38,40,21
2024 Sep 3-15,46,41,12
2023 Sep 1-23,44,36,20
2022 Sep 1-16,48,37,15
2021 Sep 1-17,41,38,20
2020 Aug 31-Sep 13,39,47,14
2019 Sep 3-15,40,44,16
2018 Sep 4-12,40,41,19
2017 Sep 6-10,34,41,25
2016 Sep 7-11,42,38,20
2015 Sep 9-13,42,37,23
2014 Sep 4-7,40,36,25
2014 Jul 7-10,35,35,29
2013 Sep 5-8,34,39,27
2012 Sep 6-9,39,49,13
2011 Sep 8-11,44,37,19
2010 Sep 13-16,40,38,22
2009 Aug 31-Sep 2,34,45,20
2008 Sep 8-11,39,46,14
2007 Sep 14-16,30,47,22
2006 Sep 7-10,34,49,16
2005 Sep 12-15,39,40,21
2005 Jan 3-5,41,41,18
2004 Sep 13-15,47,44,9
2004 Jan 12-15,39,46,15
2002 Jul 26-28,38,36,26
2001 Jan 10-14,39,39,22
1999 Jan 15-17,33,43,24
1998 Apr 17-19,40,42,18
1997 Jan 10-13,33,43,24
1996 Jul 25-28,37,41,22
1996 May 9-12,40,44,16
1995 Jan 16-18,42,32,26
1994 Oct 22-25,41,37,22
1994 Aug 15-16,38,37,25
1994 Aug 8-9,39,37,24
1994 Jul 15-17,39,32,29
1994 Jan 28-30,30,41,29
1994 Jan 15-17,31,39,30
1993 Sep 10-12,31,37,32
1993 Jan 8-11,29,45,26
1992 Mar 26-29,34,40,26
1991 Nov 21-24,33,34,33
1991 Sep 5-8,37,34,29
1991 Jul 11-14,36,28,36
1991 May 23-26,38,30,32
1991 Apr 25-28,34,29,37
1991 Mar 7-10,40,27,33
1990 Oct,30,29,41
1989 Jul 18-21,33,27,40
1988 Sep 9-11,38,33,29
1988 May 9-11,27,40,33
1987 Apr 10-13,29,37,34
1987 Jan 16-19,30,39,32
1986 Jul 11-14,33,36,31
1986 Jan 10-13,33,28,39
1985 Oct 11-14,32,32,36
1985 May 17-20,37,31,32
1985 Jan 25-28,39,29,32
1984 Sep 21-24,42,33,26
1984 Sep 7-10,43,34,23
1984 Aug 10-13,39,37,24
1984 Jun 22-25,33,35,32
1984 Feb 10-13,30,32,38
