X.1,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022
,%,%,%,%,%,%
ECONOMIC PROBLEMS (NET),46,38,37,35,40,37
High cost of living/Inflation,20,17,18,17,18,18
Economy in general,18,12,14,12,13,12
Fuel/Oil prices,2,3,3,5,5,3
Gap between rich and poor,2,2,1,1,1,1
Unemployment/Jobs,2,2,2,1,1,1
Federal budget deficit/Federal debt,2,1,1,1,1,1
Lack of money,1,2,1,1,1,1
Taxes,1,1,1,*,*,*
Wage issues,1,1,*,1,*,1
Corporate corruption,*,*,*,1,--,*
Recession,*,*,1,*,1,*
,,,,,,
NON-ECONOMIC PROBLEMS (NET),61,66,66,70,66,68
The government/Poor leadership,14,22,20,17,18,19
Immigration,8,6,6,6,5,8
Unifying the country,4,4,5,6,5,5
Crime/Violence,4,4,4,4,6,4
Poverty/Hunger/Homelessness,4,4,3,2,3,2
Environment/Pollution/Climate change,4,3,3,3,2,2
Elections/Election reform/Democracy,4,4,2,2,1,*
Abortion,3,4,5,8,1,5
Race relations/Racism,2,5,6,4,3,6
Judicial system/Courts/Laws,2,2,4,5,2,2
Ethics/moral/religious/family decline,2,3,3,3,4,3
Energy/Lack of energy sources,2,2,1,2,2,1
Education,2,1,2,1,1,2
Guns/Gun control,2,1,2,5,8,1
Healthcare,1,2,2,2,2,3
National security,1,*,1,1,1,*
Foreign policy/Foreign aid/Focus overseas,1,1,1,*,1,2
Lack of respect for each other,1,3,2,2,1,3
The media,1,1,1,1,1,2
Situation with Russia,1,1,*,1,1,3
Coronavirus/Diseases,1,*,1,1,1,2
Drugs,1,1,1,*,*,*
Wars/War (nonspecific)/Fear of war,1,*,*,1,*,*
Welfare,1,*,*,*,1,1
Lack of military defense,*,--,*,*,*,*
Terrorism,*,--,*,*,*,--
Social Security,*,--,--,--,--,--
"International issues, problems ",*,*,*,*,1,1
LGBT rights,*,*,--,*,*,*
Infrastructure,*,--,--,1,*,*
Situation with China,*,*,*,*,*,*
School shootings,*,*,1,1,2,--
Police brutality,*,--,--,*,*,1
Children’s behavior/Way they are raised ,*,--,--,*,*,--
Care for the elderly/Medicare,*,--,*,--,*,*
Situation in Afghanistan,--,--,--,--,*,*
Advancement of computers/technology,--,--,--,--,--,--
,,,,,,
Other non-economic,2,2,2,3,3,2
No opinion,3,3,3,1,1,2
,,,,,,
Total,123%,122%,122%,126%,123%,121%
