X.1,Feb-2023,Jan-2023,Nov/Dec-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022
,%,%,,%,%,%,%
ECONOMIC PROBLEMS (NET),35,34,40,46,38,37,35
High cost of living/Inflation,13,15,16,20,17,18,17
Economy in general,13,10,16,18,12,14,12
Federal budget deficit/Federal debt,3,3,2,2,1,1,1
Gap between rich and poor,2,2,2,2,2,1,1
Unemployment/Jobs,1,2,1,2,2,2,1
Wage issues,1,1,*,1,1,*,1
Lack of money,1,1,2,1,2,1,1
Taxes,1,1,1,1,1,1,*
Fuel/Oil prices,*,1,2,2,3,3,5
Foreign Trade/Trade deficit,*,*,--,--,*,--,*
Recession,*,*,1,*,*,1,*
Corporate corruption,--,*,--,*,*,*,1
,,,,,,,
NON-ECONOMIC PROBLEMS (NET),67,70,65,61,66,66,70
The government/Poor leadership,14,21,15,14,22,20,17
Immigration,10,11,8,8,6,6,6
Race relations/Racism,5,5,3,2,5,6,4
Unifying the country,4,6,6,4,4,5,6
Crime/Violence,4,4,5,4,4,4,4
Poverty/Hunger/Homelessness,4,5,4,4,4,3,2
Ethics/moral/religious/family decline,4,4,3,2,3,3,3
Healthcare,3,3,2,1,2,2,2
Environment/Pollution/Climate change,3,3,3,4,3,3,3
Lack of respect for each other,3,2,2,1,3,2,2
Elections/Election reform/Democracy,2,2,4,4,4,2,2
Education,2,2,3,2,1,2,1
Guns/Gun control,2,1,2,2,1,2,5
Abortion,2,1,5,3,4,5,8
Judicial system/Courts/Laws,2,2,4,2,2,4,5
Situation with China,1,--,*,*,*,*,*
Foreign policy/Foreign aid/Focus overseas,1,1,1,1,1,1,*
Police brutality,1,*,--,*,--,--,*
National security,1,*,*,1,*,1,1
Coronavirus/Diseases,1,*,1,1,*,1,1
The media,1,1,2,1,1,1,1
Drugs,1,1,1,1,1,1,*
Situation with Russia,1,1,1,1,1,*,1
Wars/War (nonspecific)/Fear of war,1,*,*,1,*,*,1
LGBT rights,1,*,*,*,*,--,*
"International issues, problems ",1,*,*,*,*,*,*
Energy/Lack of energy sources,*,*,1,2,2,1,2
Lack of military defense,*,*,*,*,--,*,*
School shootings,*,1,*,*,*,1,1
Infrastructure,*,*,--,*,--,--,1
Welfare,*,1,*,1,*,*,*
Social Security,*,*,*,*,--,--,--
Terrorism,*,--,*,*,--,*,*
Children’s behavior/Way they are raised ,*,*,*,*,--,--,*
Advancement of computers/technology,--,*,*,--,--,--,--
Care for the elderly/Medicare,--,*,*,*,--,*,--
,,,,,,,
Other non-economic,3,2,3,2,2,2,3
No opinion,3,2,2,3,3,3,1
,,,,,,,
Total,120%,119%,126%,123%,122%,122%,126%
