X.1,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Nov/Dec-2022,Oct-2022,Sep-2022
,%,%,%,%,%,%,%
ECONOMIC PROBLEMS (NET),29,33,35,34,40,46,38
Economy in general,14,12,13,10,16,18,12
High cost of living/Inflation,9,12,13,15,16,20,17
Unemployment/Jobs,2,1,1,2,1,2,2
Federal budget deficit/Federal debt,2,3,3,3,2,2,1
Gap between rich and poor,2,1,2,2,2,2,2
Lack of money,1,1,1,1,2,1,2
Wage issues,1,1,1,1,*,1,1
Taxes,1,1,1,1,1,1,1
Fuel/Oil prices,1,1,*,1,2,2,3
Foreign Trade/Trade deficit,*,*,*,*,--,--,*
Recession,*,*,*,*,1,*,*
Corporate corruption,--,*,--,*,--,*,*
,,,,,,,
NON-ECONOMIC PROBLEMS (NET),71,67,67,70,65,61,66
The government/Poor leadership,18,20,14,21,15,14,22
Immigration,8,11,10,11,8,8,6
Guns/Gun control,7,1,2,1,2,2,1
Crime/Violence,6,3,4,4,5,4,4
Unifying the country,5,4,4,6,6,4,4
Race relations/Racism,4,2,5,5,3,2,5
Poverty/Hunger/Homelessness,3,3,4,5,4,4,4
Ethics/moral/religious/family decline,3,2,4,4,3,2,3
Judicial system/Courts/Laws,2,2,2,2,4,2,2
Healthcare,2,2,3,3,2,1,2
Education,2,2,2,2,3,2,1
Abortion,2,2,2,1,5,3,4
Lack of respect for each other,2,2,3,2,2,1,3
Elections/Election reform/Democracy,2,2,2,2,4,4,4
Foreign policy/Foreign aid/Focus overseas,1,3,1,1,1,1,1
Environment/Pollution/Climate change,1,2,3,3,3,4,3
School shootings,1,*,*,1,*,*,*
National security,1,1,1,*,*,1,*
LGBT rights,1,*,1,*,*,*,*
Situation with China,1,1,1,--,*,*,*
Drugs,1,1,1,1,1,1,1
Welfare,1,1,*,1,*,1,*
Situation with Russia,1,2,1,1,1,1,1
The media,1,1,1,1,2,1,1
"International issues, problems ",1,1,1,*,*,*,*
Lack of military defense,1,*,*,*,*,*,--
Energy/Lack of energy sources,*,1,*,*,1,2,2
Wars/War (nonspecific)/Fear of war,*,1,1,*,*,1,*
Advancement of computers/technology,*,*,--,*,*,--,--
Terrorism,*,*,*,--,*,*,--
Police brutality,*,1,1,*,--,*,--
Coronavirus/Diseases,*,*,1,*,1,1,*
Infrastructure,*,1,*,*,--,*,--
Care for the elderly/Medicare,*,*,--,*,*,*,--
Social Security,--,*,*,*,*,*,--
Children’s behavior/Way they are raised ,--,*,*,*,*,*,--
,,,,,,,
Other non-economic,7,3,3,2,3,2,2
No opinion,3,4,3,2,2,3,3
,,,,,,,
Total,121%,116%,120%,119%,126%,123%,122%
