X.1,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23,Jan-23
ECONOMIC PROBLEMS (NET),29,32,29,29,33,35,34
Economy in general,11,14,13,14,12,13,10
High cost of living/Inflation,8,10,10,9,12,13,15
Federal budget deficit/Federal debt,3,3,5,2,3,3,3
Lack of money,2,2,*,1,1,1,1
Unemployment/Jobs,1,1,1,2,1,1,2
Gap between rich and poor,1,2,2,2,1,2,2
Taxes,1,1,*,1,1,1,1
Wage issues,1,1,1,1,1,1,1
Fuel/Oil prices,1,1,*,1,1,*,1
Recession,*,1,*,*,*,*,*
Corporate corruption,*,*,--,--,*,--,*
Foreign Trade/Trade deficit,--,*,*,*,*,*,*
,,,,,,,
NON-ECONOMIC PROBLEMS (NET),69,69,72,71,67,67,70
The government/Poor leadership,20,18,19,18,20,14,21
Immigration,8,8,13,8,11,10,11
Crime/Violence,5,5,6,6,3,4,4
Race relations/Racism,5,3,3,4,2,5,5
Unifying the country,4,6,4,5,4,4,6
Poverty/Hunger/Homelessness,4,5,3,3,3,4,5
Ethics/moral/religious/family decline,4,5,3,3,2,4,4
Abortion,3,3,2,2,2,2,1
Judicial system/Courts/Laws,3,2,3,2,2,2,2
Guns/Gun control,2,2,5,7,1,2,1
Healthcare,2,2,3,2,2,3,3
LGBT rights,2,2,1,1,*,1,*
Education,2,2,2,2,2,2,2
Elections/Election reform/Democracy,2,2,1,2,2,2,2
Environment/Pollution/Climate change,2,3,2,1,2,3,3
Foreign policy/Foreign aid/Focus overseas,2,*,1,1,3,1,1
Drugs,1,*,*,1,1,1,1
National security,1,1,1,1,1,1,*
Wars/War (nonspecific)/Fear of war,1,*,*,*,1,1,*
The media,1,1,2,1,1,1,1
Lack of respect for each other,1,2,2,2,2,3,2
Children’s behavior/Way they are raised ,1,1,1,--,*,*,*
Lack of military defense,1,*,*,1,*,*,*
Situation with Russia,1,*,*,1,2,1,1
Infrastructure,*,*,*,*,1,*,*
Energy/Lack of energy sources,*,1,2,*,1,*,*
Situation with China,*,*,*,1,1,1,--
Social Security,*,*,*,--,*,*,*
Welfare,*,*,--,1,1,*,1
School shootings,*,*,*,1,*,*,1
Police brutality,*,*,--,*,1,1,*
Care for the elderly/Medicare,*,*,*,*,*,--,*
"International issues, problems ",*,*,*,1,1,1,*
Advancement of computers/technology,*,*,*,*,*,--,*
Terrorism,*,--,--,*,*,*,--
Coronavirus/Diseases,--,*,*,*,*,1,*
,,,,,,,
Other non-economic,6,6,2,7,3,3,2
No opinion,4,1,4,3,4,3,2
,,,,,,,
Total,119%,120%,122%,121%,116%,120%,119%
