X.1,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022
,%,%,%,%,%,%
ECONOMIC PROBLEMS (NET),38,37,35,40,37,39
High cost of living/Inflation,17,18,17,18,18,17
Economy in general,12,14,12,13,12,12
Fuel/Oil prices,3,3,5,5,3,6
Lack of money,2,1,1,1,1,*
Unemployment/Jobs,2,2,1,1,1,2
Gap between rich and poor,2,1,1,1,1,2
Wage issues,1,*,1,*,1,1
Taxes,1,1,*,*,*,1
Federal budget deficit/Federal debt,1,1,1,1,1,1
Recession,*,1,*,1,*,*
Corporate corruption,*,*,1,--,*,*
,,,,,,
NON-ECONOMIC PROBLEMS (NET),66,66,70,66,68,67
The government/Poor leadership,22,20,17,18,19,20
Immigration,6,6,6,5,8,7
Race relations/Racism,5,6,4,3,6,4
Unifying the country,4,5,6,5,5,4
Abortion,4,5,8,1,5,1
Elections/Election reform/Democracy,4,2,2,1,*,1
Poverty/Hunger/Homelessness,4,3,2,3,2,3
Crime/Violence,4,4,4,6,4,2
Environment/Pollution/Climate change,3,3,3,2,2,2
Lack of respect for each other,3,2,2,1,3,2
Ethics/moral/religious/family decline,3,3,3,4,3,2
Healthcare,2,2,2,2,3,4
Judicial system/Courts/Laws,2,4,5,2,2,2
Energy/Lack of energy sources,2,1,2,2,1,3
Guns/Gun control,1,2,5,8,1,1
The media,1,1,1,1,2,1
Education,1,2,1,1,2,1
Situation with Russia,1,*,1,1,3,5
Drugs,1,1,*,*,*,*
Foreign policy/Foreign aid/Focus overseas,1,1,*,1,2,1
Wars/War (nonspecific)/Fear of war,*,*,1,*,*,1
National security,*,1,1,1,*,1
Coronavirus/Diseases,*,1,1,1,2,4
"International issues, problems ",*,*,*,1,1,1
School shootings,*,1,1,2,--,--
Welfare,*,*,*,1,1,--
Situation with China,*,*,*,*,*,*
Lack of military defense,--,*,*,*,*,--
Care for the elderly/Medicare,--,*,--,*,*,*
Terrorism,--,*,*,*,--,*
Infrastructure,--,--,1,*,*,1
Police brutality,--,--,*,*,1,--
Children’s behavior/Way they are raised ,--,--,*,*,--,*
Situation in Afghanistan,--,--,--,*,*,*
Advancement of computers/technology,--,--,--,--,--,1
Social Security,--,--,--,--,--,*
,,,,,,
Other non-economic,2,2,3,3,2,2
No opinion,3,3,1,1,2,3
,,,,,,
Total,122%,122%,126%,123%,121%,121%
