X.1,23-Nov,23-Oct,23-Sep,23-Aug,23-Jul,23-Jun,23-May
,%,%,%,%,%,%,%
ECONOMIC PROBLEMS (NET),33,38,34,31,29,32,32
Economy in general,13,14,16,15,11,14,13
High cost of living/Inflation,10,14,9,8,8,10,10
Federal budget deficit/Federal debt,3,4,3,2,3,3,5
Unemployment/Jobs,2,2,3,2,1,1,1
Gap between rich and poor,2,1,1,1,1,2,2
Wage issues,2,1,1,1,1,1,1
Lack of money,2,1,1,2,2,2,*
Taxes,1,*,1,*,1,1,*
Fuel/Oil prices,1,1,1,*,1,1,*
Corporate corruption,*,1,*,*,*,*,--
Foreign Trade/Trade deficit,*,--,--,--,--,*,*
Recession,*,*,1,*,*,1,*
,,,,,,,
NON-ECONOMIC PROBLEMS (NET),70,67,67,70,69,69,72
The government/Poor leadership,19,19,18,22,20,18,19
Immigration,15,13,13,9,8,8,13
Unifying the country,4,4,5,5,4,6,4
Poverty/Hunger/Homelessness,4,4,3,4,4,5,3
Crime/Violence,3,3,3,2,5,5,6
Race relations/Racism,3,3,3,4,5,3,3
Guns/Gun control,2,2,3,1,2,2,5
Healthcare,2,1,2,2,2,2,3
"International issues, problems ",2,1,*,1,*,*,*
War in the Middle East,2,1,--,--,--,*,--
Environment/Pollution/Climate change,2,3,3,4,2,3,2
Education,2,2,2,2,2,2,2
Wars/War (nonspecific)/Fear of war,2,1,*,1,1,*,*
Elections/Election reform/Democracy,2,1,2,3,2,2,1
Ethics/moral/religious/family decline,2,2,2,4,4,5,3
National security,2,2,1,1,1,1,1
Foreign policy/Foreign aid/Focus overseas,1,3,2,2,2,*,1
The media,1,1,1,*,1,1,2
Judicial system/Courts/Laws,1,2,3,3,3,2,3
Abortion,1,2,1,3,3,3,2
Lack of respect for each other,1,1,2,1,1,2,2
Energy/Lack of energy sources,1,1,*,*,*,1,2
Drugs,1,1,1,*,1,*,*
Welfare,*,*,*,*,*,*,--
Infrastructure,*,*,*,*,*,*,*
Situation with Russia,*,1,1,1,1,*,*
School shootings,*,*,--,*,*,*,*
Overpopulation,*,--,*,*,--,--,*
LGBT rights,*,*,1,1,2,2,1
Situation with China,*,*,*,*,*,*,*
Social Security,*,*,*,*,*,*,*
Child abuse,*,*,1,*,*,--,--
Lack of military defense,*,1,*,*,1,*,*
Coronavirus/Cancer/diseases,*,--,--,*,--,*,*
Terrorism,*,1,--,--,*,--,--
Care for the elderly/Medicare,--,*,*,--,*,*,*
Advancement of computers/technology,--,--,*,*,*,*,*
,,,,,,,
Other non-economic,5,3,6,6,6,6,2
No opinion,4,3,3,4,4,1,4
,,,,,,,
Total,122%,122%,120%,120%,119%,120%,122%
