X.1,Jan-24,23-Dec,23-Nov,23-Oct,23-Sep,23-Aug,23-Jul
,%,%,%,%,%,%,%
ECONOMIC PROBLEMS (NET),34,32,33,38,34,31,29
High cost of living/Inflation,13,12,10,14,9,8,8
Economy in general,12,14,13,14,16,15,11
Lack of money,3,1,2,1,1,2,2
Gap between rich and poor,3,1,2,1,1,1,1
Unemployment/Jobs,2,2,2,2,3,2,1
Wage issues,2,1,2,1,1,1,1
Federal budget deficit/Federal debt,2,2,3,4,3,2,3
Taxes,1,1,1,*,1,*,1
Fuel/Oil prices,1,*,1,1,1,*,1
Corporate corruption,*,*,*,1,*,*,*
Recession,*,*,*,*,1,*,*
Foreign Trade/Trade deficit,--,*,*,--,--,--,--
,,,,,,,
NON-ECONOMIC PROBLEMS (NET),76,68,70,67,67,70,69
The government/Poor leadership,21,16,19,19,18,22,20
Immigration,20,16,15,13,13,9,8
Unifying the country,6,4,4,4,5,5,4
Poverty/Hunger/Homelessness,5,4,4,4,3,4,4
Elections/Election reform/Democracy,4,5,2,1,2,3,2
Crime/Violence,4,3,3,3,3,2,5
Judicial system/Courts/Laws,3,1,1,2,3,3,3
Ethics/moral/religious/family decline,3,3,2,2,2,4,4
Lack of respect for each other,3,1,1,1,2,1,1
Race relations/Racism,3,3,3,3,3,4,5
Healthcare,2,3,2,1,2,2,2
Foreign policy/Foreign aid/Focus overseas,2,3,1,3,2,2,2
Guns/Gun control,2,2,2,2,3,1,2
Wars/War (nonspecific)/Fear of war,2,1,2,1,*,1,1
Environment/Pollution/Climate change,2,2,2,3,3,4,2
The media,2,1,1,1,1,*,1
Education,2,2,2,2,2,2,2
Abortion,2,2,1,2,1,3,3
War in the Middle East,1,1,2,1,--,--,--
Lack of military defense,1,1,*,1,*,*,1
National security,1,1,2,2,1,1,1
LGBT rights,1,*,*,*,1,1,2
Drugs,1,*,1,1,1,*,1
Situation with China,1,*,*,*,*,*,*
Situation with Russia,1,*,*,1,1,1,1
"International issues, problems ",1,*,2,1,*,1,*
Coronavirus/Cancer/diseases,1,*,*,--,--,*,--
Care for the elderly/Medicare,*,--,--,*,*,--,*
Children’s needs,*,--,*,--,1,*,*
Overpopulation,*,--,*,--,*,*,--
Welfare,*,*,*,*,*,*,*
Energy/Lack of energy sources,*,1,1,1,*,*,*
Child abuse,*,*,*,*,1,*,*
Infrastructure,*,*,*,*,*,*,*
Advancement of computers/technology,*,*,--,--,*,*,*
Terrorism,--,*,*,1,--,--,*
School shootings,--,--,*,*,--,*,*
Social Security,--,--,*,*,*,*,*
,,,,,,,
,,,,,,,
Other non-economic,3,5,5,3,6,6,6
No opinion,*,4,4,3,3,4,4
,,,,,,,
Total,141%#,119%,122%,122%,120%,120%,119%
