X.1,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023
,%,%,%,%,%,%,%
ECONOMIC PROBLEMS (NET),30,30,34,32,33,38,34
Economy in general,14,12,12,14,13,14,16
High cost of living/Inflation,11,11,13,12,10,14,9
Unemployment/Jobs,2,2,2,2,2,2,3
Federal budget deficit/Federal debt,2,3,2,2,3,4,3
Wage issues,2,*,2,1,2,1,1
Lack of money,1,1,3,1,2,1,1
Taxes,1,2,1,1,1,*,1
Gap between rich and poor,1,1,3,1,2,1,1
Fuel/Oil prices,1,*,1,*,1,1,1
Corporate corruption,*,*,*,*,*,1,*
Foreign Trade/Trade deficit,*,*,--,*,*,--,--
Recession,*,*,*,*,*,*,1
,,,,,,,
NON-ECONOMIC PROBLEMS (NET),81,80,76,68,70,67,67
Immigration,28,28,20,16,15,13,13
The government/Poor leadership,19,20,21,16,19,19,18
Poverty/Hunger/Homelessness,6,6,5,4,4,4,3
Unifying the country,4,4,6,4,4,4,5
Crime/Violence,3,3,4,3,3,3,3
Elections/Election reform/Democracy,3,3,4,5,2,1,2
Race relations/Racism,3,4,3,3,3,3,3
Abortion,3,2,2,2,1,2,1
Ethics/moral/religious/family decline,3,3,3,3,2,2,2
Foreign policy/Foreign aid/Focus overseas,3,3,2,3,1,3,2
Healthcare,2,3,2,3,2,1,2
Education,2,2,2,2,2,2,2
Judicial system/Courts/Laws,2,3,3,1,1,2,3
War in the Middle East,2,1,1,1,2,1,--
Environment/Pollution/Climate change,2,2,2,2,2,3,3
Guns/Gun control,1,2,2,2,2,2,3
Situation with Russia,1,1,1,*,*,1,1
Wars/War (nonspecific)/Fear of war,1,1,2,1,2,1,*
National security,1,1,1,1,2,2,1
The media,1,1,2,1,1,1,1
"International issues, problems ",1,*,1,*,2,1,*
Lack of respect for each other,1,3,3,1,1,1,2
Advancement of computers/technology,1,*,*,*,--,--,*
Coronavirus/Cancer/diseases,1,--,1,*,*,--,--
Energy/Lack of energy sources,1,*,*,1,1,1,*
Welfare,1,*,*,*,*,*,*
Drugs,*,2,1,*,1,1,1
Terrorism,*,*,--,*,*,1,--
Lack of military defense,*,*,1,1,*,1,*
Situation with China,*,*,1,*,*,*,*
Police brutality,*,*,--,*,--,--,--
Children’s needs,*,1,*,--,*,--,1
Infrastructure,*,*,*,*,*,*,*
Overpopulation,*,*,*,--,*,--,*
LGBT rights,*,*,1,*,*,*,1
Care for the elderly/Medicare,--,*,*,--,--,*,*
Child abuse,--,--,*,*,*,*,1
,,,,,,,
Other non-economic,3,5,3,5,5,3,6
No opinion,*,*,*,4,4,3,3
,,,,,,,
Total,137%,139%,141%,119%,122%,122%,120%
