X.1,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024
,%,%,%,%,%,%,%
ECONOMIC PROBLEMS (NET),33,36,36,36,30,30,34
Economy in general,13,16,17,17,14,12,12
High cost of living/Inflation,13,14,12,13,11,11,13
Federal budget deficit/Federal debt,2,2,5,3,2,3,2
Unemployment/Jobs,2,2,2,2,2,2,2
Wage issues,2,2,1,1,2,*,2
Lack of money,1,2,1,1,1,1,3
Fuel/Oil prices,1,*,1,*,1,*,1
Gap between rich and poor,1,2,2,1,1,1,3
Taxes,1,1,1,1,1,2,1
Corporate corruption,*,*,*,*,*,*,*
Foreign Trade/Trade deficit,*,--,--,--,*,*,--
,,,,,,,
NON-ECONOMIC PROBLEMS (NET),76,73,75,74,81,80,76
The government/Poor leadership,26,20,21,18,19,20,21
Immigration,19,22,18,27,28,28,20
Unifying the country,6,4,4,3,4,4,6
Poverty/Hunger/Homelessness,6,4,6,4,6,6,5
Judicial system/Courts/Laws,5,3,3,3,2,3,3
Elections/Election reform/Democracy,5,2,4,3,3,3,4
Race relations/Racism,3,4,2,3,3,4,3
Crime/Violence,3,3,3,1,3,3,4
Lack of respect for each other,2,1,2,1,1,3,3
Ethics/moral/religious/family decline,2,3,3,2,3,3,3
Healthcare,2,2,2,1,2,3,2
Abortion,2,3,4,3,3,2,2
Environment/Pollution/Climate change,2,2,2,2,2,2,2
Wars/War (nonspecific)/Fear of war,2,1,2,2,1,1,2
National security,1,1,*,1,1,1,1
The media,1,1,1,*,1,1,2
Drugs,1,1,*,*,*,2,1
Education,1,2,1,2,2,2,2
War in the Middle East,1,1,3,2,2,1,1
Guns/Gun control,1,1,1,1,1,2,2
"International issues, problems ",1,1,*,1,1,*,1
Energy/Lack of energy sources,1,1,*,1,1,*,*
Foreign policy/Foreign aid/Focus overseas,1,2,3,3,3,3,2
LGBT rights,*,*,1,1,*,*,1
Infrastructure,*,1,*,*,*,*,*
Children’s needs,*,*,1,*,*,1,*
Welfare,*,*,1,--,1,*,*
Situation with China,*,*,*,*,*,*,1
Situation with Russia,*,1,2,1,1,1,1
Terrorism,*,*,1,*,*,*,--
Advancement of computers/technology,*,--,*,1,1,*,*
Social Security,*,*,*,--,*,--,--
Cancer/diseases/viruses,*,*,--,*,1,--,1
Care for the elderly/Medicare,*,*,*,*,--,*,*
Lack of military defense,*,*,*,1,*,*,1
Overpopulation,*,--,*,--,*,*,*
Child abuse,--,*,--,--,--,--,*
Police brutality,--,*,*,--,*,*,--
,,,,,,,
Other non-economic,3,4,7,5,3,5,3
No opinion,1,*,1,*,*,*,*
,,,,,,,
Total,133%,133%,143%,136%,137%,139%,141%
