X.1,Oct-24,Sep-24,Aug-24,Jul-24,Jun-24,May-24,Apr-24
,%,%,%,%,%,%,%
<b>ECONOMIC PROBLEMS (NET)</b>,43,44,41,33,36,36,36
Economy in general,21,24,18,13,16,17,17
High cost of living/Inflation,14,15,15,13,14,12,13
Federal budget deficit/Federal debt,5,3,2,2,2,5,3
Unemployment/Jobs,2,1,3,2,2,2,2
Gap between rich and poor,2,2,2,1,2,2,1
Lack of money,2,1,2,1,2,1,1
Wage issues,2,1,1,2,2,1,1
Fuel/Oil prices,1,1,*,1,*,1,*
Taxes,1,2,1,1,1,1,1
Corporate corruption,*,1,1,*,*,*,*
Foreign Trade/Trade deficit,*,--,--,*,--,--,--
,,,,,,,
<b>NON-ECONOMIC PROBLEMS (NET)</b>,71,69,72,76,73,75,74
Immigration,21,22,19,19,22,18,27
The government/Poor leadership,17,17,16,26,20,21,18
Unifying the country,5,5,6,6,4,4,3
Poverty/Hunger/Homelessness,5,3,4,6,4,6,4
Abortion,4,4,4,2,3,4,3
Crime/Violence,3,5,3,3,3,3,1
Elections/Election reform/Democracy,3,3,3,5,2,4,3
Education,3,2,2,1,2,1,2
Foreign policy/Foreign aid/Focus overseas,2,1,1,1,2,3,3
Wars/War (nonspecific)/Fear of war,2,1,1,2,1,2,2
Healthcare,2,1,2,2,2,2,1
Environment/Pollution/Climate change,2,*,2,2,2,2,2
Race relations/Racism,2,2,5,3,4,2,3
Lack of respect for each other,2,1,2,2,1,2,1
Ethics/moral/religious/family decline,2,2,5,2,3,3,2
Judicial system/Courts/Laws,2,3,3,5,3,3,3
The media,2,1,1,1,1,1,*
National security,2,1,2,1,1,*,1
Energy/Lack of energy sources,1,1,*,1,1,*,1
Drugs,1,1,*,1,1,*,*
War in the Middle East,1,1,1,1,1,3,2
Natural disaster response,1,--,--,--,--,--,--
"International issues, problems ",1,*,1,1,1,*,1
Guns/Gun control,*,5,1,1,1,1,1
Cancer/diseases/viruses,*,*,*,*,*,--,*
Situation with Russia,*,*,*,*,1,2,1
Welfare,*,*,1,*,*,1,--
Situation with China,*,*,*,*,*,*,*
LGBT rights,*,*,1,*,*,1,1
Lack of military defense,*,*,1,*,*,*,1
Care for the elderly/Medicare,*,*,*,*,*,*,*
Police brutality,*,--,*,--,*,*,--
School shootings,*,2,*,--,--,*,--
Advancement of computers/technology,*,--,--,*,--,*,1
Social Security,*,*,*,*,*,*,--
Terrorism,--,1,*,*,*,1,*
Infrastructure,--,*,*,*,1,*,*
Children’s needs,--,--,*,*,*,1,*
,,,,,,,
Other non-economic,3,5,3,3,4,7,5
No opinion,2,*,*,1,*,1,*
,,,,,,,
Total,144%,142%,136%,133%,133%,143%,136%
