X.1,24-Dec,24-Nov,24-Oct,24-Sep,24-Aug,24-Jul,24-Jun
,%,%,%,%,%,%,%
<b>ECONOMIC PROBLEMS (NET)</b>,34,33,43,44,41,33,36
Economy in general,15,17,21,24,18,13,16
High cost of living/Inflation,11,11,14,15,15,13,14
Federal budget deficit/Federal debt,2,3,5,3,2,2,2
Gap between rich and poor,2,1,2,2,2,1,2
Lack of money,2,1,2,1,2,1,2
Unemployment/Jobs,2,2,2,1,3,2,2
Wage issues,2,*,2,1,1,2,2
Corporate corruption,1,*,*,1,1,*,*
Taxes,1,1,1,2,1,1,1
Fuel/Oil prices,*,1,1,1,*,1,*
Foreign Trade/Trade deficit,*,*,*,--,--,*,--
,,,,,,,
<b>NON-ECONOMIC PROBLEMS (NET)</b>,71,70,71,69,72,76,73
The government/Poor leadership,20,21,17,17,16,26,20
Immigration,17,20,21,22,19,19,22
Unifying the country,5,5,5,5,6,6,4
Ethics/moral/religious/family decline,5,2,2,2,5,2,3
Race relations/Racism,4,3,2,2,5,3,4
Healthcare,3,3,2,1,2,2,2
Poverty/Hunger/Homelessness,3,3,5,3,4,6,4
Crime/Violence,3,3,3,5,3,3,3
Elections/Election reform/Democracy,3,2,3,3,3,5,2
Abortion,2,2,4,4,4,2,3
Education,2,1,3,2,2,1,2
Foreign policy/Foreign aid/Focus overseas,2,3,2,1,1,1,2
Environment/Pollution/Climate change,2,2,2,*,2,2,2
Lack of respect for each other,2,2,2,1,2,2,1
Judicial system/Courts/Laws,2,2,2,3,3,5,3
The media,2,1,2,1,1,1,1
National security,1,1,2,1,2,1,1
Wars/War (nonspecific)/Fear of war,1,1,2,1,1,2,1
LGBTQ rights,1,*,*,*,1,*,*
Situation with Russia,1,1,*,*,*,*,1
Guns/Gun control,1,*,*,5,1,1,1
Drugs,1,*,1,1,*,1,1
War in the Middle East,*,1,1,1,1,1,1
Social Security,*,*,*,*,*,*,*
Situation with China,*,*,*,*,*,*,*
Cancer/diseases/viruses,*,*,*,*,*,*,*
"International issues, problems ",*,1,1,*,1,1,1
Infrastructure,*,--,--,*,*,*,1
Welfare,*,--,*,*,1,*,*
Care for the elderly/Medicare,*,*,*,*,*,*,*
Children’s needs,*,*,--,--,*,*,*
Advancement of computers/technology,*,*,*,--,--,*,--
Lack of military defense,*,*,*,*,1,*,*
Energy/Lack of energy sources,*,*,1,1,*,1,1
School shootings,*,*,*,2,*,--,--
Terrorism,*,*,--,1,*,*,*
Natural disaster response,--,--,1,--,--,--,--
Police brutality,--,--,*,--,*,--,*
,,,,,,,
Other non-economic,4,5,3,5,3,3,4
No opinion,1,3,2,*,*,1,*
,,,,,,,
Total,130%,128%,144%,142%,136%,133%,133%
