X.1,Mar-25,Feb-25,Jan-25,Dec-25,Nov-25,Oct-25,Sep-25
,%,%,%,%,%,%,%
,,,,,,,
<b>ECONOMIC PROBLEMS (NET)</b>,38,34,33,34,33,43,44
Economy in general,19,16,14,15,17,21,24
High cost of living/Inflation,9,8,12,11,11,14,15
Federal budget deficit/Federal debt,4,6,3,2,3,5,3
Unemployment/Jobs,2,2,2,2,2,2,0
Gap between rich and poor,2,1,1,2,1,2,2
Wage issues,2,1,1,2,*,2,1
Taxes,2,1,1,1,1,1,1
Foreign Trade/Trade deficit,1,1,*,*,*,*,2
Lack of money,1,1,1,2,1,2,1
Fuel/Oil prices,*,*,1,*,1,1,1
Corporate corruption,*,*,1,1,*,*,1
,,,,,,,
<b>NON-ECONOMIC PROBLEMS (NET)</b>,71,71,73,71,70,71,69
The government/Poor leadership,27,27,23,20,21,17,17
Immigration,14,18,13,17,20,21,22
Unifying the country,5,4,7,5,5,5,0
Elections/Election reform/Democracy,4,4,3,3,2,3,3
Judicial system/Courts/Laws,4,3,2,2,2,2,5
Poverty/Hunger/Homelessness,3,3,3,3,3,5,3
"International issues, problems ",3,1,*,*,1,1,3
Foreign policy/Foreign aid/Focus overseas,3,1,2,2,3,2,*
Race relations/Racism,2,5,3,4,3,2,1
Education,2,2,2,2,1,3,2
Lack of respect for each other,2,1,3,2,2,2,2
Crime/Violence,2,1,5,3,3,3,1
Environment/Pollution/Climate change,1,1,2,2,2,2,*
Ethics/moral/religious/family decline,1,4,5,5,2,2,5
Situation with Russia,1,--,*,1,1,*,*
Healthcare,1,3,3,3,3,2,2
Social Security,1,*,*,*,*,*,1
National security,1,1,2,1,1,2,*
Drugs,1,1,*,1,*,1,1
Situation with China,1,1,*,*,*,*,1
Terrorism,1,*,1,*,*,--,1
Wars/War (nonspecific)/Fear of war,1,*,1,1,1,2,*
LGBTQ rights,1,1,*,1,*,*,1
The media,*,1,3,2,1,2,*
Cancer/diseases/viruses,*,--,1,*,*,*,1
Abortion,*,1,2,2,2,4,*
Children’s needs,*,*,*,*,*,--,4
Care for the elderly/Medicare,*,--,*,*,*,*,*
Advancement of computers/technology,*,*,*,*,*,*,--
Lack of military defense,*,*,*,*,*,*,*
War in the Middle East,*,*,*,*,1,1,1
Guns/Gun control,*,--,1,1,*,*,5
Welfare,*,*,1,*,--,*,*
Infrastructure,*,*,*,*,--,--,*
Police brutality,--,*,*,--,--,*,--
Energy/Lack of energy sources,--,*,*,*,*,1,1
Natural disaster response,--,*,*,--,--,1,--
School shootings,--,--,*,*,*,*,2
,,,,,,,
Other non-economic,7,4,5,4,5,3,5
No opinion,*,2,3,1,3,2,*
,,,,,,,
Total,134%,128%,137%,130%,128%,144%,142%
