X.1,25-May,25-Apr,25-Mar,25-Feb,25-Jan,25-Dec,25-Nov
,%,%,%,%,%,%,%
,,,,,,,
<b>ECONOMIC PROBLEMS (NET)</b>,35,39,38,34,33,34,33
Economy in general,16,17,19,16,14,15,17
High cost of living/Inflation,8,11,9,8,12,11,11
Foreign Trade/Trade deficit,4,5,1,1,*,*,*
Federal budget deficit/Federal debt,3,5,4,6,3,2,3
Unemployment/Jobs,3,3,2,2,2,2,2
Lack of money,2,1,1,1,1,2,1
Gap between rich and poor,1,1,2,1,1,2,1
Taxes,1,1,2,1,1,1,1
Wage issues,1,1,2,1,1,2,*
Fuel/Oil prices,*,*,*,*,1,*,1
Corporate corruption,*,*,*,*,1,1,*
,,,,,,,
<b>NON-ECONOMIC PROBLEMS (NET)</b>,70,66,71,71,73,71,70
The government/Poor leadership,26,28,27,27,23,20,21
Immigration,13,12,14,18,13,17,20
Judicial system/Courts/Laws,5,3,4,3,2,2,2
Race relations/Racism,5,2,2,5,3,4,3
Elections/Election reform/Democracy,4,4,4,4,3,3,2
Unifying the country,4,5,5,4,7,5,5
Poverty/Hunger/Homelessness,3,1,3,3,3,3,3
Crime/Violence,3,2,2,1,5,3,3
Education,2,2,2,2,2,2,1
Ethics/moral/religious/family decline,2,3,1,4,5,5,2
Lack of respect for each other,2,1,2,1,3,2,2
Healthcare,2,1,1,3,3,3,3
Foreign policy/Foreign aid/Focus overseas,2,2,3,1,2,2,3
The media,2,1,*,1,3,2,1
"International issues, problems ",1,1,3,1,*,*,1
Drugs,1,*,1,1,*,1,*
Cancer/diseases/viruses,1,*,*,--,1,*,*
LGBTQ rights,1,*,1,1,*,1,*
Wars/War (nonspecific)/Fear of war,1,2,1,*,1,1,1
National security,1,1,1,1,2,1,1
Environment/Pollution/Climate change,1,*,1,1,2,2,2
Guns/Gun control,1,*,*,--,1,1,*
Care for the elderly/Medicare,1,*,*,--,*,*,*
Welfare,1,--,*,*,1,*,--
Abortion,1,1,*,1,2,2,2
Terrorism,1,1,1,*,1,*,*
Social Security,1,*,1,*,*,*,*
Energy/Lack of energy sources,*,*,--,*,*,*,*
Situation with Russia,*,*,1,--,*,1,1
Situation with China,*,1,1,1,*,*,*
War in the Middle East,*,*,*,*,*,*,1
Advancement of computers/technology,*,--,*,*,*,*,*
Infrastructure,*,--,*,*,*,*,--
School shootings,*,*,--,--,*,*,*
Lack of military defense,*,*,*,*,*,*,*
Children’s needs,--,--,*,*,*,*,*
Police brutality,--,--,--,*,*,--,--
Natural disaster response,--,--,--,*,*,--,--
,,,,,,,
Other non-economic,6,4,7,4,5,4,5
No opinion,*,*,*,2,3,1,3
,,,,,,,
Total,135%,125%,134%,128%,137%,130%,128%
