poll_id,source,source_url,date,question_type,question_wording,topic,issue_area,support_pct,oppose_pct,net,sample_size,methodology,population,moe,tags,data_quality
PEW_20110301_001,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,approval,Do you approve or disapprove of the way Barack Obama is handling his job as President? [IF DK ENTER AS DK. IF DEPENDS PROBE ONCE WITH: Overall do you approve or disapprove of the way Barack Obama is handling his job as President? IF STILL DEPENDS ENTER AS DK] Dis-,presidential_approval,presidential_approval,22,1,21,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_002,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,approval,"Do you [approve/disapprove] very strongly, or not so strongly? BASED ON TOTAL:",approval,approval,25,22,3,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_003,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,right_track_wrong_track,"All in all, are you satisfied or dissatisfied with the way things are going in this country today? Satis- Dis-",general_outlook,right_track_wrong_track,8,14,-6,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_004,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,favor,"Would you say your overall opinion of… [INSERT ITEM; RANDOMIZE ITEMS a THROUGH c FOLLOWED BY RANDOMIZED ITEMS d AND e] is very favorable, mostly favorable, mostly UNfavorable, or very unfavorable? How about [NEXT ITEM]?",general_politics,general_politics,22,1,21,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_005,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,favor,"First, [INSERT NAME; RANDOMIZE] would you say your overall opinion of… [INSERT NAME] is very favorable, mostly favorable, mostly UNfavorable, or very unfavorable? How about [NEXT NAME]? is very favorable, mostly favorable, mostly UNfavorable, or very unfavorable?]",general_politics,general_politics,8,14,-6,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_006,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,situation? Mar 8-14,general_politics,general_politics,8,14,-6,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_007,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,Aug 25- Mar 8-14,general_politics,general_politics,25,8,17,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_008,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,"I'm going to read you some pairs of statements that will help us understand how you feel about a number of things. As I read each pair, tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. The first pair is... [AFTER CHOICE IS MADE, PROBE: Do you feel STRONGLY about that, or not?] Questions 17e and 17j asked only on Survey A. a. Government is almost always wasteful and inefficient Government often does a better job than people give it credit for",government_role,government_efficiency,22,14,8,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_009,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,c. Poor people today have it easy because they can get government benefits without doing anything in return Poor people have hard lives because government benefits don't go far enough to help them live decently,government_role,social_safety_net,22,14,8,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_010,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,"[INSERT FIRST ITEM; RANDOMIZE ITEMS a. THRU g. FOLLOWED BY RANDOMIZED ITEMS h. THRU j.], regularly, sometimes, hardly ever or never? How about [INSERT NEXT ITEM.]. 6",general_politics,general_politics,22,1,21,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_011,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,"ORDER], or not? (VOL.) Yes No",general_politics,general_politics,22,1,21,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_012,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,prefer that a Republican candidate win the election? Obama Prefer,general_politics,general_politics,8,14,-6,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_013,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,"any, you would most like to see nominated as the Republican Party’s candidate?",political_parties,parties_general,201,9,192,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_014,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,"OPTIONS IF NECESSARY, ELIMINATING NAME CHOSEN IN Q.B12] Mar 8-14, 2011 First Second choice choice Total Mike Huckabee Mitt Romney Sarah Palin Ron Paul Newt Gingrich Tim Pawlenty Rick Santorum Mitch Daniels Haley Barbour * Chris Christie (VOL.)",general_politics,general_politics,8,14,-6,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_015,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,"frustrated, and others say they are angry. Which of these best describes how you feel? Basically",general_politics,general_politics,22,1,21,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_016,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,"right? Just about always, most of the time, or only some of the time? Just about Most of Only",general_politics,general_politics,22,1,21,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_017,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,Would you say you follow what's going on in government and public affairs... Most of,government_role,government_general,22,14,8,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_018,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,RANDOMIZE QUESTIONS B34 AND B35 RANDOMIZE]?,general_politics,general_politics,8,14,-6,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_019,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,RANDOMIZE QUESTIONS B34 AND B35 RANDOMIZE]?,general_politics,general_politics,8,14,-6,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_020,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,"Now I'm going to read a few more pairs of statements. Again, just tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. The first pair is... [AFTER CHOICE IS MADE, PROBE: Do you feel STRONGLY about that, or not?] Questions 37s, 37t, 37v, 37cc, 37ee, 37ff, 37gg asked only on Survey A. Question 37ii asked only on Survey B. q. This country should do whatever it takes to protect the environment This country has gone too far in its efforts to protect the environment",climate_environment,climate_environment,22,1,21,3029,phone,adults,,political_typology;2011,structured_poll
PEW_20110301_021,Pew Research Center,http://assets.pewresearch.org/wp-content/uploads/sites/5/2011/05/Political-Typology-Topline.pdf,2011-03-01,agree,Homosexuality should be accepted by society Homosexuality should be discouraged by society,lgbt_rights,lgbt_rights_general,22,14,8,3029,phone,adults,,political_typology;2011,structured_poll
