year,state,measure,topic,yes_pct,no_pct,outcome
2024,Alabama,Legislature,Failed,Amendment 1,Exempts local laws or local constitutional amendments from the budget isolation resolution process.,Failed
2024,California,Legislature,Approved,Proposition 1,Reforms the Mental Health Services Act and issues $6.38 billion in bonds for homeless individuals an,Approved
2024,Wisconsin,Legislature,Approved,Question 1,Prohibits governments in the state from applying or accepting non-governmental funds or equipment fo,Approved
2024,Legislature,Approved,Question 2,Mandates that only election officials may administer elections.,Apr 2,Approved
2024,North Dakota,Citizens,Approved,Initiated Measure 1,Creates an age limit of 81 for congressional officeholders.,Approved
2024,Missouri,Legislature,Failed,Amendment 1,Exempts childcare facilities from property taxes.,Failed
2024,Legislature,Approved,Amendment 4,Allows the legislature to increase minimum funding for a police force established by a state board o,Aug 6,Approved
2024,Wisconsin,Legislature,Failed,Question 1,Prohibits the legislature from delegating its power to appropriate money.,Failed
2024,Legislature,Failed,Question 2,Requires legislative approval before the governor can expend federal money appropriated to the state,Aug 13,Failed
2024,Alabama,Legislature,Approved,Amendment 1,Transfers control of land to the Franklin County Board of Education.,Approved
2024,Alaska,Citizens,Approved,Measure 1,Increases the minimum wage to $15/hr (currently $11.73/hr) by July 2027; provides 40–56 hours of pai,Approved
2024,Citizens,Failed,Measure 2,Repeal Alaska's electoral system of ranked-choice ( instant-runoff ) voting and nonpartisan blanket ,Nov 5,Failed
2024,Arizona,Legislature,Failed,Proposition 133,Require partisan primary elections for partisan offices and prohibit primary elections where all can,Failed
2024,Legislature,Failed,Proposition 134,establishing a signature distribution requirement for citizen initiatives requiring signatures from ,Nov 5,Failed
2024,Legislature,Failed,Proposition 135,Allow the legislature to terminate a state of emergency or change the emergency powers granted to th,Nov 5,Failed
2024,Legislature,Failed,Proposition 136,Authorize a person to bring forth a lawsuit to stop a voter-proposed initiative from being placed on,Nov 5,Failed
2024,Legislature,Failed,Proposition 137,End term limits for state supreme court justices and superior court judges; provide that justices ca,Nov 5,Failed
2024,Legislature,Failed,Proposition 138,Allow for tipped workers to be paid 25% less per hour than the minimum wage if any tips received by ,Nov 5,Failed
2024,Citizens,Approved,Proposition 139,Enshrines abortion until fetal viability or to protect health of the mother,Nov 5,Approved
2024,Citizens,Failed,Proposition 140,"Require primaries in which candidates, regardless of partisan affiliation, appear on a single ballot",Nov 5,Failed
2024,Legislature,Approved,Proposition 311,"Establish a $20 fee on every conviction for a criminal offense, which would go to pay a benefit of $",Nov 5,Approved
2024,Legislature,Approved,Proposition 312,Allow for property owners to apply for a property tax refund if the city or locality in which the pr,Nov 5,Approved
2024,Legislature,Approved,Proposition 313,Require that anyone convicted of child sex trafficking be sentenced to life in prison without the po,Nov 5,Approved
2024,Legislature,Approved,Proposition 314,Make it a state crime for noncitizens to enter the state at any location other than the port of entr,Nov 5,Approved
2024,Legislature,Failed,Proposition 315,Prohibit a proposed rule from becoming effective if that rule is estimated to increase regulatory co,Nov 5,Failed
2024,Arkansas,Legislature,Approved,Issue 1,Allow proceeds from the state lottery to fund scholarships and grants for vocational-technical schoo,Approved
2024,Citizens,Approved,Issue 2,Repeal the authorization for a casino license in Pope County and requiring countywide voter approval,Aug 6,Approved
2024,California,Bond Issue,Approved,Proposition 2,Issue $10 billion in bonds to fund construction and modernization of public education facilities.,Approved
2024,Legislature,Approved,Proposition 3,Repeal Proposition 8 and the states Constitutional Amendment against same-sex marriage by declaring ,Nov 5,Approved
2024,Bond Issue,Approved,Proposition 4,"Issue $10 billion in bonds to fund state and local parks, environmental protection projects, water i",Nov 5,Approved
2024,Legislature,Failed,Proposition 5,Measure to lower the vote threshold from two-thirds (66.67%) to 55% for local bond measures to fund ,Nov 5,Failed
2024,Legislature,Failed,Proposition 6,Eliminate the Constitutional provision permitting the use of involuntary servitude against incarcera,Nov 5,Failed
2024,Citizens,Failed,Proposition 32,Increase the state minimum wage to $18 per hour by 2026 for all employers and thereafter adjusting t,Nov 5,Failed
2024,Citizens,Failed,Proposition 33,"Repeals the Costa–Hawkins Rental Housing Act , allowing cities to once again establish their own ren",Nov 5,Failed
2024,Citizens,Approved,Proposition 34,Requires health care providers that have spent over $100 million in any 10-year period on anything o,Nov 5,Approved
2024,Citizens,Approved,Proposition 35,"Makes permanent the existing tax on managed health care insurance plans, currently set to expire in ",Nov 5,Approved
2024,Citizens,Approved,Proposition 36,Increase the penalties and sentences for certain drug and theft crimes from being only chargeable as,Nov 5,Approved
2024,Colorado,Citizens,Approved,Amendment 79,Enshrines abortion in the Colorado Constitution and allows the use of public funds for abortion heal,Approved
2024,Citizens,Failed,Amendment 80,"Defines school choice and enshrines in the state's constitution that ""each K-12 child has the right ",Nov 5,Failed
2024,Legislature,Approved,Amendment G,Expand the property tax exemption for veterans with a disability to include veterans with individual,Nov 5,Approved
2024,Legislature,Approved,Amendment H,"Create a new board, called the Independent Judicial Discipline Adjudicative Board, and create rules ",Nov 5,Approved
2024,Legislature,Approved,Amendment I,Remove the right to bail in cases of first-degree murder when the proof is evident or the presumptio,Nov 5,Approved
2024,Legislature,Approved,Amendment J,Repeal Amendment 43 and the state's Constitutional Amendment against same-sex marriage .,Nov 5,Approved
2024,Legislature,Failed,Amendment K,"Change the signature deadline for initiative and referendum signature gathering, thereby shorting th",Nov 5,Failed
2024,Citizens,Failed,Proposition 127,"Prohibit the hunting of mountain lions , bobcats , and lynxes",Nov 5,Failed
2024,Citizens,Approved,Proposition 128,Requires any individual convicted of a violent felony offense to serve 85% of their sentence before ,Nov 5,Approved
2024,Citizens,Approved,Proposition 129,"Create a new profession, the veterinary professional associate, that requires a master's degree and ",Nov 5,Approved
2024,Citizens,Approved,Proposition 130,"Create the Peace Officer Training and Support Fund to provide funding for law enforcement training, ",Nov 5,Approved
2024,Citizens,Failed,Proposition 131,Establish top-four primaries and ranked-choice voting for federal and state offices in Colorado,Nov 5,Failed
2024,Legislature,Approved,Proposition JJ,Allow the state to retain tax revenue collected above $29 million annually from the tax on sports be,Nov 5,Approved
2024,Legislature,Approved,Proposition KK,Levy a 6.5% excise tax on the manufacture and sale of firearms and ammunition to be imposed on firea,Nov 5,Approved
2024,Connecticut,Legislature,Approved,Connecticut No-Excuse Absentee Voting Amendment,"Authorize the Connecticut State Legislature to provide by law for no-excuse absentee voting , thereb",Approved
2024,District of Columbia,Citizens,Approved,Initiative 83,Allows independent voters to participate in partisan primaries and implements ranked-choice voting.,Approved
2024,Florida,Legislature,Failed,Amendment 1,Make school board elections partisan beginning in the November 2026 general election and for primary,Failed
2024,Legislature,Approved,Amendment 2,Establish a constitutional right to hunt and fish in Florida.,Nov 5,Approved
