year,measure_name,outcome,full_text
2020,One measure was balloted in Oklahoma on June 30,,One measure was balloted in Oklahoma on June 30
2020,Two measures were balloted in Maine on July 14,,Two measures were balloted in Maine on July 14
2020,116 ballot measures were balloted on November 3,,116 ballot measures were balloted on November 3.
2020,2020 Alabama Amendment 1,,2020 Alabama Amendment 1
2020,2020 Alaska Measure 2,,2020 Alaska Measure 2
2020,2020 Arizona Proposition 207,,2020 Arizona Proposition 207
2020,2020 California Proposition 13,,2020 California Proposition 13
2020,2020 California Proposition 14,,2020 California Proposition 14
2020,2020 California Proposition 15,,2020 California Proposition 15
2020,2020 California Proposition 16,,2020 California Proposition 16
2020,2020 California Proposition 17,,2020 California Proposition 17
2020,2020 California Proposition 18,,2020 California Proposition 18
2020,2020 California Proposition 19,,2020 California Proposition 19
2020,2020 California Proposition 20,,2020 California Proposition 20
2020,2020 California Proposition 21,,2020 California Proposition 21
2020,2020 California Proposition 22,,2020 California Proposition 22
2020,2020 California Proposition 23,,2020 California Proposition 23
2020,2020 California Proposition 24,,2020 California Proposition 24
2020,2020 California Proposition 25,,2020 California Proposition 25
2020,2020 Colorado Proposition 113,,2020 Colorado Proposition 113
2020,2020 Colorado Proposition 114,,2020 Colorado Proposition 114
2020,2020 Colorado Proposition EE,,2020 Colorado Proposition EE
2020,2020 Florida Amendment 1,,2020 Florida Amendment 1
2020,2020 Florida Amendment 2,,2020 Florida Amendment 2
2020,2020 Florida Amendment 4,,2020 Florida Amendment 4
2020,2020 Florida Amendment 5,,2020 Florida Amendment 5
2020,2020 Florida Amendment 6,,2020 Florida Amendment 6
2020,2020 Iowa Question 1,,2020 Iowa Question 1
2020,2020 Kentucky Amendment 1,,2020 Kentucky Amendment 1
2020,2020 Kentucky Amendment 2,,2020 Kentucky Amendment 2
2020,2020 Maine Question 1,,2020 Maine Question 1
2020,2020 Massachusetts Question 1,,2020 Massachusetts Question 1
2020,2020 Massachusetts Question 2,,2020 Massachusetts Question 2
2020,2020 Missouri Amendment 2,,2020 Missouri Amendment 2
2020,2020 Montana Initiative 190,,2020 Montana Initiative 190
2020,2020 New Jersey Public Question 1,,2020 New Jersey Public Question 1
2020,2020 Oklahoma State Question 802,,2020 Oklahoma State Question 802
2020,2020 Oregon Ballot Measure 107,,2020 Oregon Ballot Measure 107
2020,2020 Oregon Ballot Measure 109,,2020 Oregon Ballot Measure 109
2020,2020 Oregon Ballot Measure 110,,2020 Oregon Ballot Measure 110
2020,2020 Rhode Island Question 1,,2020 Rhode Island Question 1
2020,2020 South Dakota Amendment A,,2020 South Dakota Amendment A
2020,2020 South Dakota Measure 26,,2020 South Dakota Measure 26
2020,2020 Virginia Question 1,,2020 Virginia Question 1
2020,2020 Virginia Question 2,,2020 Virginia Question 2
2020,2020 ballot measures in the United States,,2020 ballot measures in the United States
2018,"Legislatively-referred constitutional amendment : 2018 Arkansas Issue 2, require voters to give a current and valid photo ID to vote",Passed,"Legislatively-referred constitutional amendment : 2018 Arkansas Issue 2, require voters to give a current and valid photo ID to vote. This amendment passed. [ 1 ]"
2018,"Citizen-initiated state statute : 2018 Arkansas Issue 5 , raise the state minimum mage to $11 per hour by 2021",Passed,"Citizen-initiated state statute : 2018 Arkansas Issue 5 , raise the state minimum mage to $11 per hour by 2021. This measure passed. [ 2 ]"
2018,Legislatively-referred bond act : 2018 California Proposition 68 [ 4 ],,Legislatively-referred bond act : 2018 California Proposition 68 [ 4 ]
2018,Legislatively-referred constitutional amendment : 2018 California Proposition 69 [ 5 ],,Legislatively-referred constitutional amendment : 2018 California Proposition 69 [ 5 ]
2018,Legislatively-referred constitutional amendment : 2018 California Proposition 70 [ 6 ],,Legislatively-referred constitutional amendment : 2018 California Proposition 70 [ 6 ]
2018,"Legislatively-referred constitutional amendment : 2018 California Proposition 71 , moves date that b",Passed,"Legislatively-referred constitutional amendment : 2018 California Proposition 71 , moves date that ballot measures go into effect from the day after election day to ""the fifth day after the secretary "
2018,2018 California Proposition 2 [ 8 ],,2018 California Proposition 2 [ 8 ]
2018,2018 California Proposition 3 [ 9 ],,2018 California Proposition 3 [ 9 ]
2018,2018 California Proposition 4 [ 10 ],,2018 California Proposition 4 [ 10 ]
2018,2018 California Proposition 5 [ 11 ],,2018 California Proposition 5 [ 11 ]
2018,Citizen-initiated constitutional amendment : 2018 California Proposition 6 ,Failed,Citizen-initiated constitutional amendment : 2018 California Proposition 6 . This amendment failed. [ 12 ]
2018,"Legislatively-referred constitutional amendment : 2018 California Proposition 7 , would let the state legislature give a permanent daylight saving time if the federal government approves of it",Passed,"Legislatively-referred constitutional amendment : 2018 California Proposition 7 , would let the state legislature give a permanent daylight saving time if the federal government approves of it. This a"
2018,2018 California Proposition 8 [ 14 ],,2018 California Proposition 8 [ 14 ]
2018,2018 California Proposition 10 [ 15 ],,2018 California Proposition 10 [ 15 ]
2018,2018 California Proposition 11 [ 16 ],,2018 California Proposition 11 [ 16 ]
2018,2018 California Proposition 12 [ 17 ],,2018 California Proposition 12 [ 17 ]
2018,"Initiated state statute : Proposition 9 or Cal 3, proposed splitting California into three states",Passed,"Initiated state statute : Proposition 9 or Cal 3, proposed splitting California into three states. The proposition if passed would have required the state government to petition US Congress to split t"
2018,2018 Colorado Amendment A,,2018 Colorado Amendment A
